arm,group,task,condition,bound,bh_family,n_pairs,n_clusters,n_excluded_non_terminating,mae_delta,ci_low,ci_high,p_value,bh_significant,bh_significant_global
main_sweep,gemma4-12b/thinking,node_degree,all,excluded,mae/gemma4-12b/thinking/node_degree,26,26,4,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/thinking,node_degree,clustering,excluded,mae/gemma4-12b/thinking/node_degree,23,23,11,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/thinking,node_degree,components,excluded,mae/gemma4-12b/thinking/node_degree,26,26,5,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/thinking,node_degree,degree,excluded,mae/gemma4-12b/thinking/node_degree,26,26,4,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/thinking,node_degree,filler,excluded,mae/gemma4-12b/thinking/node_degree,25,25,5,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/thinking,node_degree,rwse,excluded,mae/gemma4-12b/thinking/node_degree,24,24,7,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-e4b/thinking,node_count,all,excluded,mae/gemma4-e4b/thinking/node_count,30,30,0,-0.0,-0.1,0.1,1.0,False,False
main_sweep,gemma4-e4b/thinking,node_count,clustering,excluded,mae/gemma4-e4b/thinking/node_count,30,30,0,0.03333333333333333,-0.0,0.1,1.0,False,False
main_sweep,gemma4-e4b/thinking,node_count,components,excluded,mae/gemma4-e4b/thinking/node_count,30,30,0,-0.0,-0.1,0.1,1.0,False,False
main_sweep,gemma4-e4b/thinking,node_count,degree,excluded,mae/gemma4-e4b/thinking/node_count,30,30,0,-0.0,-0.1,0.1,1.0,False,False
main_sweep,gemma4-e4b/thinking,node_count,filler,excluded,mae/gemma4-e4b/thinking/node_count,30,30,0,0.03333333333333333,-0.0,0.1,1.0,False,False
main_sweep,gemma4-e4b/thinking,node_count,rwse,excluded,mae/gemma4-e4b/thinking/node_count,30,30,0,-0.16666666666666666,-0.6,0.1,1.0,False,False
main_sweep,gemma4-e4b/thinking,edge_count,all,excluded,mae/gemma4-e4b/thinking/edge_count,30,30,0,0.3333333333333333,-0.0,0.8333333333333334,0.5029497050294971,False,False
main_sweep,gemma4-e4b/thinking,edge_count,clustering,excluded,mae/gemma4-e4b/thinking/edge_count,30,30,0,0.16666666666666666,-0.0,0.5,1.0,False,False
main_sweep,gemma4-e4b/thinking,edge_count,components,excluded,mae/gemma4-e4b/thinking/edge_count,30,30,0,0.06666666666666667,-0.5666666666666667,0.6666666666666666,1.0,False,False
main_sweep,gemma4-e4b/thinking,edge_count,degree,excluded,mae/gemma4-e4b/thinking/edge_count,30,30,0,0.3333333333333333,-0.0,0.8333333333333334,0.5024497550244975,False,False
main_sweep,gemma4-e4b/thinking,edge_count,filler,excluded,mae/gemma4-e4b/thinking/edge_count,30,30,0,0.03333333333333333,-0.26666666666666666,0.4666666666666667,1.0,False,False
main_sweep,gemma4-e4b/thinking,edge_count,rwse,excluded,mae/gemma4-e4b/thinking/edge_count,30,30,0,0.03333333333333333,-0.26666666666666666,0.4666666666666667,1.0,False,False
main_sweep,gemma4-e4b/thinking,node_degree,all,excluded,mae/gemma4-e4b/thinking/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-e4b/thinking,node_degree,clustering,excluded,mae/gemma4-e4b/thinking/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
