arm,group,metric,condition,hypothesis_type,is_derived_condition,bound,bh_family,n_pairs,n_clusters,n_instances_missing,n_forced_wrong_non_terminating,n_looped_on_correct_answer,high_non_termination_rate,near_ceiling,headroom,task_delta_min,task_delta_max,delta,ci_low,ci_high,p_value,bh_significant,mde_delta,mde_realized_diff,mde_delta_negative,mde_realized_diff_negative,mde_power_target,bh_significant_global,task,n_mae_imputed,mae_delta
main_sweep,gemma4-12b,exact,all,,True,excluded,main_sweep/gemma4-12b/task/cycle_check/derived,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,,cycle_check,,
main_sweep,gemma4-12b,exact,clustering,,False,excluded,main_sweep/gemma4-12b/task/edge_count,30,30,,,,,,,,,0.1,0.0,0.2,0.2479504099180164,False,,,,,,False,edge_count,,
main_sweep,gemma4-12b,exact,components,,False,excluded,main_sweep/gemma4-12b/task/edge_count,30,30,,,,,,,,,-0.03333333333333333,-0.1,0.0,1.0,False,,,,,,False,edge_count,,
main_sweep,gemma4-12b,exact,degree,,False,excluded,main_sweep/gemma4-12b/task/edge_count,30,30,,,,,,,,,0.16666666666666666,0.03333333333333333,0.3,0.0597880423915217,False,,,,,,False,edge_count,,
main_sweep,gemma4-12b,exact,filler,,False,excluded,main_sweep/gemma4-12b/task/edge_count,30,30,,,,,,,,,0.06666666666666667,0.0,0.16666666666666666,0.4947010597880424,False,,,,,,False,edge_count,,
main_sweep,gemma4-12b,exact,rwse,,False,excluded,main_sweep/gemma4-12b/task/edge_count,30,30,,,,,,,,,0.0,-0.1,0.1,1.0,False,,,,,,False,edge_count,,
main_sweep,gemma4-12b,exact,all,,True,excluded,main_sweep/gemma4-12b/task/edge_count/derived,30,30,,,,,,,,,0.1,-0.03333333333333333,0.23333333333333334,0.37772445510897823,False,,,,,,,edge_count,,
main_sweep,gemma4-12b,exact,clustering,,False,excluded,main_sweep/gemma4-12b/task/edge_existence,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,edge_existence,,
main_sweep,gemma4-12b,exact,components,,False,excluded,main_sweep/gemma4-12b/task/edge_existence,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,edge_existence,,
main_sweep,gemma4-12b,exact,degree,,False,excluded,main_sweep/gemma4-12b/task/edge_existence,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,edge_existence,,
main_sweep,gemma4-12b,exact,filler,,False,excluded,main_sweep/gemma4-12b/task/edge_existence,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,edge_existence,,
main_sweep,gemma4-12b,exact,rwse,,False,excluded,main_sweep/gemma4-12b/task/edge_existence,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,edge_existence,,
main_sweep,gemma4-12b,exact,all,,True,excluded,main_sweep/gemma4-12b/task/edge_existence/derived,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,,edge_existence,,
main_sweep,gemma4-12b,exact,clustering,,False,excluded,main_sweep/gemma4-12b/task/node_count,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,node_count,,
main_sweep,gemma4-12b,exact,components,,False,excluded,main_sweep/gemma4-12b/task/node_count,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,node_count,,
main_sweep,gemma4-12b,exact,degree,,False,excluded,main_sweep/gemma4-12b/task/node_count,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,node_count,,
main_sweep,gemma4-12b,exact,filler,,False,excluded,main_sweep/gemma4-12b/task/node_count,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,node_count,,
main_sweep,gemma4-12b,exact,rwse,,False,excluded,main_sweep/gemma4-12b/task/node_count,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,node_count,,
main_sweep,gemma4-12b,exact,all,,True,excluded,main_sweep/gemma4-12b/task/node_count/derived,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,,node_count,,
main_sweep,gemma4-12b,exact,clustering,,False,excluded,main_sweep/gemma4-12b/task/node_degree,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,node_degree,,
main_sweep,gemma4-12b,exact,components,,False,excluded,main_sweep/gemma4-12b/task/node_degree,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,node_degree,,
main_sweep,gemma4-12b,exact,degree,,False,excluded,main_sweep/gemma4-12b/task/node_degree,30,30,,,,,,,,,-0.03333333333333333,-0.1,0.0,1.0,False,,,,,,False,node_degree,,
main_sweep,gemma4-12b,exact,filler,,False,excluded,main_sweep/gemma4-12b/task/node_degree,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,node_degree,,
main_sweep,gemma4-12b,exact,rwse,,False,excluded,main_sweep/gemma4-12b/task/node_degree,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,node_degree,,
main_sweep,gemma4-12b,exact,all,,True,excluded,main_sweep/gemma4-12b/task/node_degree/derived,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,,node_degree,,
main_sweep,gemma4-e4b,exact,clustering,,False,excluded,main_sweep/gemma4-e4b/task/connected_nodes,30,30,,,,,,,,,0.03333333333333333,0.0,0.1,1.0,False,,,,,,False,connected_nodes,,
main_sweep,gemma4-e4b,exact,components,,False,excluded,main_sweep/gemma4-e4b/task/connected_nodes,30,30,,,,,,,,,0.03333333333333333,0.0,0.1,1.0,False,,,,,,False,connected_nodes,,
main_sweep,gemma4-e4b,exact,degree,,False,excluded,main_sweep/gemma4-e4b/task/connected_nodes,30,30,,,,,,,,,0.03333333333333333,0.0,0.1,1.0,False,,,,,,False,connected_nodes,,
main_sweep,gemma4-e4b,exact,filler,,False,excluded,main_sweep/gemma4-e4b/task/connected_nodes,30,30,,,,,,,,,-0.03333333333333333,-0.16666666666666666,0.06666666666666667,1.0,False,,,,,,False,connected_nodes,,
main_sweep,gemma4-e4b,exact,rwse,,False,excluded,main_sweep/gemma4-e4b/task/connected_nodes,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,connected_nodes,,
main_sweep,gemma4-e4b,exact,all,,True,excluded,main_sweep/gemma4-e4b/task/connected_nodes/derived,30,30,,,,,,,,,0.03333333333333333,0.0,0.1,1.0,False,,,,,,,connected_nodes,,
main_sweep,gemma4-e4b,exact,clustering,,False,excluded,main_sweep/gemma4-e4b/task/cycle_check,30,30,,,,,,,,,0.06666666666666667,0.0,0.16666666666666666,0.48630273945210956,False,,,,,,False,cycle_check,,
