model,k,approx_tokens,position,magnitude,accuracy,n,dropped
qwen3-1.7b,420,2449,0.5,small,0.4,25,0
qwen3-1.7b,420,2449,0.9,large,0.72,25,0
qwen3-1.7b,420,2449,0.9,small,0.96,25,0
qwen3-1.7b,520,3037,0.1,large,1.0,25,0
qwen3-1.7b,520,3037,0.1,small,0.92,25,0
qwen3-1.7b,520,3037,0.5,large,0.24,25,0
qwen3-1.7b,520,3037,0.5,small,0.28,25,0
qwen3-1.7b,520,3037,0.9,large,0.92,25,0
qwen3-1.7b,520,3037,0.9,small,0.92,25,0
qwen3-1.7b,640,3742,0.1,large,0.96,25,0
qwen3-1.7b,640,3742,0.1,small,0.96,25,0
qwen3-1.7b,640,3742,0.5,large,0.2,25,0
qwen3-1.7b,640,3742,0.5,small,0.16,25,0
qwen3-1.7b,640,3742,0.9,large,0.64,25,0
qwen3-1.7b,640,3742,0.9,small,0.88,25,0
qwen3-1.7b-think,160,922,0.1,large,0.96,25,0
qwen3-1.7b-think,160,922,0.1,small,1.0,25,0
qwen3-1.7b-think,160,922,0.5,large,0.96,25,0
qwen3-1.7b-think,160,922,0.5,small,1.0,25,0
qwen3-1.7b-think,160,922,0.9,large,0.96,25,0
qwen3-1.7b-think,160,922,0.9,small,0.9583,24,1
qwen3-1.7b-think,220,1274,0.1,large,1.0,25,0
qwen3-1.7b-think,220,1274,0.1,small,1.0,25,0
qwen3-1.7b-think,220,1274,0.5,large,0.913,23,2
qwen3-1.7b-think,220,1274,0.5,small,1.0,25,0
qwen3-1.7b-think,220,1274,0.9,large,0.68,25,0
qwen3-1.7b-think,220,1274,0.9,small,0.92,25,0
qwen3-1.7b-think,260,1509,0.1,large,0.96,25,0
qwen3-1.7b-think,260,1509,0.1,small,1.0,25,0
qwen3-1.7b-think,260,1509,0.5,large,1.0,25,0
qwen3-1.7b-think,260,1509,0.5,small,0.7917,24,1
qwen3-1.7b-think,260,1509,0.9,large,0.4091,22,3
qwen3-1.7b-think,260,1509,0.9,small,0.3333,24,1
qwen3-1.7b-think,320,1862,0.1,large,1.0,25,0
qwen3-1.7b-think,320,1862,0.1,small,0.96,25,0
qwen3-1.7b-think,320,1862,0.5,large,1.0,25,0
qwen3-1.7b-think,320,1862,0.5,small,0.92,25,0
qwen3-1.7b-think,320,1862,0.9,large,0.6818,22,3
qwen3-1.7b-think,320,1862,0.9,small,0.76,25,0
qwen3-1.7b-think,420,2449,0.1,large,0.96,25,0
qwen3-1.7b-think,420,2449,0.1,small,1.0,25,0
qwen3-1.7b-think,420,2449,0.5,large,0.913,23,2
qwen3-1.7b-think,420,2449,0.5,small,0.96,25,0
qwen3-1.7b-think,420,2449,0.9,large,0.76,25,0
qwen3-1.7b-think,420,2449,0.9,small,0.88,25,0
