task,arm,cond,slope_none,slope_cond,dslope,lo,hi,sig
node_degree,qwen3-4b,filler,-1.3353243345657777,5.261559133744057,6.596883468309657,-0.5078802007048088,14.285772535555717,False
node_degree,qwen3-4b,all,-1.3353243345657777,-10.558221675308243,-9.222897340742549,-20.187882311820815,2.3973087316471866,False
node_degree,qwen3-4b-think,components,-2.125820377157679,-1.7575897916887941,-0.1091974101236095,-3.4820554222445135,3.235347151268683,False
node_degree,qwen3-4b-think,clustering,-2.125820377157679,-0.8894286380079122,1.1929448545155146,-2.361473207602113,4.771626077331162,False
node_degree,qwen3-4b-think,rwse,-2.125820377157679,-4.165796761096201,-2.7370478167354957,-6.921625858642519,1.720675249744165,False
node_degree,qwen3-4b-think,degree,-2.125820377157679,-2.782040349722734,-0.7279012388535153,-3.6090185561366916,2.599830810457924,False
node_degree,qwen3-4b-think,filler,-2.125820377157679,0.41314194439654633,1.9024762172878136,-0.13945733598121446,4.311858375306422,False
node_degree,qwen3-4b-think,all,-2.125820377157679,-1.4881160215210643,-5.10702591327572e-15,-3.0611139284515505,3.2792827033407432,False
connected_nodes,qwen3-1.7b,components,8.550195013825137,-0.25119020702951816,-8.801385220854465,-21.093487575754075,3.638542727564625,False
connected_nodes,qwen3-1.7b,clustering,8.550195013825137,-7.554814732857563,-16.10500974668249,-30.71283774490387,-2.9491977645003566,True
connected_nodes,qwen3-1.7b,rwse,8.550195013825137,-6.473967244519094,-15.024162258343985,-28.231700373028964,-1.9256952275052428,True
connected_nodes,qwen3-1.7b,degree,8.550195013825137,1.3396811041571497,-7.210513909667769,-19.346341767079164,4.962074561242473,False
connected_nodes,qwen3-1.7b,filler,8.550195013825137,-15.917398803672839,-24.467593817497814,-36.67965892459539,-12.698958313396737,True
connected_nodes,qwen3-1.7b,all,8.550195013825137,-1.0585453352823186,-10.713363107409398,-25.607188944805376,5.138274391874062,False
connected_nodes,qwen3-1.7b-think,components,7.323436361204438,-0.13226905429268487,-7.675163603316733,-18.137609762506102,2.6427282013569884,False
connected_nodes,qwen3-1.7b-think,clustering,7.323436361204438,-5.2199273014173135,-11.800909050540469,-24.306370062556724,0.7728451129184629,False
connected_nodes,qwen3-1.7b-think,rwse,7.323436361204438,-9.731838876893418,-15.857980100858631,-27.865177813288575,-4.183306602323731,True
connected_nodes,qwen3-1.7b-think,degree,7.323436361204438,-9.194297516387104,-16.284664589496842,-28.832137171509896,-4.590241854258899,True
connected_nodes,qwen3-1.7b-think,filler,7.323436361204438,-1.6400776643431143,-8.617405626732202,-20.63684624571524,3.1950726074247924,False
connected_nodes,qwen3-1.7b-think,all,7.323436361204438,0.24053097902539916,-6.777219628090776,-19.27748815735187,5.703277124190417,False
connected_nodes,qwen3-4b,components,25.020351244031712,12.9621790236,-12.058172220431574,-22.759474406773656,-0.6905452859179259,True
connected_nodes,qwen3-4b,clustering,25.020351244031712,8.606478296727728,-16.413872947303723,-29.51669153748472,-3.626953757504008,True
connected_nodes,qwen3-4b,rwse,25.020351244031712,12.373983974497717,-12.646367269533771,-25.38174168742776,-0.4220011107130513,True
connected_nodes,qwen3-4b,degree,25.020351244031712,14.643381529568936,-10.37696971446248,-23.278135419031894,3.5218203634204457,False
connected_nodes,qwen3-4b,filler,25.020351244031712,26.323205014931382,1.302853770899727,-12.813365096383974,14.571899921457295,False
connected_nodes,qwen3-4b,all,25.020351244031712,7.8647202164955825,-17.155631027535986,-32.19300613252296,-3.0457372185132603,True
connected_nodes,qwen3-4b-think,components,-3.1256095484010524,-1.7325069556183788,0.23911925156724,-2.813731258551771,4.089265545713936,False
connected_nodes,qwen3-4b-think,clustering,-3.1256095484010524,-2.718575647473578,-2.208138933066082,-7.820239123562364,2.9646558204728026,False
connected_nodes,qwen3-4b-think,rwse,-3.1256095484010524,-3.1498096390520245,-1.486181856938164,-6.979628164089132,4.113400577062702,False
connected_nodes,qwen3-4b-think,degree,-3.1256095484010524,-2.363712489099408,-0.6788911239214945,-6.4586214276351654,5.170597866208818,False
connected_nodes,qwen3-4b-think,filler,-3.1256095484010524,1.0483272498311702,1.8833047613635399,-1.6329309263235108,6.769082642986178,False
connected_nodes,qwen3-4b-think,all,-3.1256095484010524,-5.629520205207517,-3.7690063794374105,-9.7359898687898,1.5009392988402377,False
