arm,design,task,condition,control,n,control_acc,condition_acc,delta_pp,b_helped_to_hurt,c_hurt_to_helped,p_value,bh_significant
qwen3-4b,lo,edge_count,all,none,397,0.0202,0.0579,3.78,6,21,0.005924612283706665,True
qwen3-4b,lo,edge_existence,components,none,400,0.905,0.8775,-2.75,27,16,0.12628947438543037,False
qwen3-4b,lo,edge_existence,clustering,none,400,0.905,0.945,4.0,12,28,0.01658900337497471,True
qwen3-4b,lo,edge_existence,rwse,none,400,0.905,0.805,-10.0,53,13,7.237175237417024e-07,True
qwen3-4b,lo,edge_existence,degree,none,398,0.9045,0.8618,-4.27,32,15,0.01862383661500644,True
qwen3-4b,lo,edge_existence,filler,none,400,0.905,0.835,-7.0,42,14,0.00023444586091919684,True
qwen3-4b,lo,edge_existence,all,none,399,0.9048,0.807,-9.77,54,15,2.612848003590018e-06,True
qwen3-4b,lo,node_count,components,none,400,0.9025,0.9925,9.0,1,37,2.837623469531536e-10,True
qwen3-4b,lo,node_count,clustering,none,400,0.9025,0.99,8.75,3,38,1.0479197953827679e-08,True
qwen3-4b,lo,node_count,rwse,none,400,0.9025,0.995,9.25,2,39,7.839844329282641e-10,True
qwen3-4b,lo,node_count,degree,none,400,0.9025,0.9825,8.0,5,37,4.4337048166198656e-07,True
qwen3-4b,lo,node_count,filler,none,400,0.9025,0.995,9.25,0,37,1.4551915228366852e-11,True
qwen3-4b,lo,node_count,all,none,400,0.9025,1.0,9.75,0,39,3.637978807091713e-12,True
qwen3-4b,lo,node_degree,components,none,400,0.9925,0.995,0.25,0,1,1.0,False
qwen3-4b,lo,node_degree,clustering,none,400,0.9925,0.9875,-0.5,5,3,0.7265625,False
qwen3-4b,lo,node_degree,rwse,none,400,0.9925,0.97,-2.25,11,2,0.0224609375,True
qwen3-4b,lo,node_degree,degree,none,400,0.9925,0.9275,-6.5,29,3,2.5560148060321808e-06,True
qwen3-4b,lo,node_degree,filler,none,400,0.9925,0.9875,-0.5,5,3,0.7265625,False
qwen3-4b,lo,node_degree,all,none,400,0.9925,0.9125,-8.0,34,2,1.941225491464138e-08,True
qwen3-4b,hi,edge_existence,components,none,299,0.903,0.8696,-3.34,19,9,0.08715855330228806,False
qwen3-4b,hi,edge_existence,clustering,none,300,0.9,0.9533,5.33,10,26,0.011330984183587134,True
qwen3-4b,hi,edge_existence,rwse,none,300,0.9,0.8933,-0.67,19,17,0.8679394004284404,False
qwen3-4b,hi,edge_existence,degree,none,299,0.8997,0.8696,-3.01,18,9,0.12207812070846558,False
qwen3-4b,hi,edge_existence,filler,none,300,0.9,0.8367,-6.33,22,3,0.00015652179718017578,True
qwen3-4b,hi,edge_existence,all,none,299,0.8997,0.8796,-2.01,18,12,0.361594608053565,False
qwen3-4b,hi,node_degree,components,none,300,0.55,0.54,-1.0,24,21,0.765991824244793,False
qwen3-4b,hi,node_degree,clustering,none,300,0.55,0.6633,11.33,12,46,8.219663963332513e-06,True
qwen3-4b,hi,node_degree,rwse,none,300,0.55,0.6267,7.67,17,40,0.003201543767450382,True
qwen3-4b,hi,node_degree,degree,none,300,0.55,0.6433,9.33,54,82,0.02026001125424599,True
qwen3-4b,hi,node_degree,filler,none,300,0.55,0.57,2.0,23,29,0.48845566937989204,False
qwen3-4b,hi,node_degree,all,none,300,0.55,0.3367,-21.33,98,34,2.225708250524145e-08,True
qwen3-4b-think,lo,connected_nodes,components,none,377,0.9894,0.9947,0.53,1,3,0.625,False
qwen3-4b-think,lo,connected_nodes,clustering,none,373,0.992,0.992,0.0,3,3,1.0,False
qwen3-4b-think,lo,connected_nodes,rwse,none,379,0.9894,0.9894,0.0,4,4,1.0,False
qwen3-4b-think,lo,connected_nodes,degree,none,376,0.9894,0.9894,0.0,4,4,1.0,False
qwen3-4b-think,lo,connected_nodes,filler,none,379,0.9894,0.9974,0.79,1,4,0.375,False
qwen3-4b-think,lo,connected_nodes,all,none,375,0.9893,0.984,-0.53,5,3,0.7265625,False
qwen3-4b-think,lo,cycle_check,components,none,381,1.0,1.0,0.0,0,0,1.0,False
qwen3-4b-think,lo,cycle_check,clustering,none,394,1.0,1.0,0.0,0,0,1.0,False
qwen3-4b-think,lo,cycle_check,rwse,none,395,1.0,1.0,0.0,0,0,1.0,False
qwen3-4b-think,lo,cycle_check,degree,none,375,1.0,0.992,-0.8,3,0,0.25,False
qwen3-4b-think,lo,cycle_check,filler,none,396,1.0,1.0,0.0,0,0,1.0,False
qwen3-4b-think,lo,cycle_check,all,none,392,1.0,1.0,0.0,0,0,1.0,False
qwen3-4b-think,lo,edge_count,components,none,60,0.9833,1.0,1.67,0,1,1.0,False
qwen3-4b-think,lo,edge_count,clustering,none,59,0.9661,0.9831,1.69,1,2,1.0,False
qwen3-4b-think,lo,edge_count,filler,none,50,1.0,0.98,-2.0,1,0,1.0,False
qwen3-4b-think,lo,edge_existence,components,none,396,1.0,1.0,0.0,0,0,1.0,False
qwen3-4b-think,lo,edge_existence,clustering,none,396,1.0,1.0,0.0,0,0,1.0,False
qwen3-4b-think,lo,edge_existence,rwse,none,393,1.0,1.0,0.0,0,0,1.0,False
