arm,design,task,density,condition,contaminated,length_matched_to_condition,mid_range,n,none_acc,filler_acc,condition_acc,length_cost_pp,length_cost_p,content_gain_pp,content_gain_p,net_pp,net_p,content_outweighs_length,length_cost_bh,content_gain_bh,net_bh
qwen3-1.7b,lo,edge_existence,0.1,degree,True,False,True,100,0.89,0.84,0.83,-5.0,0.266845703125,-1.0,1.0,-6.0,0.0703125,False,False,False,False
qwen3-1.7b,lo,edge_existence,0.2,degree,True,False,True,100,0.73,0.53,0.7,-20.0,0.00032491423189640045,17.0,0.002315700054168701,-3.0,0.7011080384254456,False,True,True,False
qwen3-1.7b,lo,edge_existence,0.35,degree,True,False,True,100,0.66,0.34,0.67,-32.0,4.0745362639427185e-09,33.0,2.3283064365386963e-10,1.0,1.0,True,True,True,False
qwen3-1.7b,lo,edge_existence,0.5,degree,True,False,True,100,0.54,0.48,0.78,-6.0,0.03125,30.0,1.5366822481155396e-08,24.0,8.046627044677734e-07,True,True,True,True
qwen3-1.7b,lo,edge_existence,0.1,all,True,False,True,100,0.89,0.84,0.89,-5.0,0.266845703125,5.0,0.3017578125,0.0,1.0,False,False,False,False
qwen3-1.7b,lo,edge_existence,0.2,all,True,False,True,100,0.73,0.53,0.81,-20.0,0.00032491423189640045,28.0,1.941574737429619e-06,8.0,0.15158963203430176,True,True,True,False
qwen3-1.7b,lo,edge_existence,0.35,all,True,False,True,100,0.66,0.34,0.78,-32.0,4.0745362639427185e-09,44.0,1.3358203432289883e-12,12.0,0.0806904677519924,True,True,True,False
qwen3-1.7b,lo,edge_existence,0.5,all,True,False,True,100,0.54,0.48,0.8,-6.0,0.03125,32.0,4.656612873077393e-10,26.0,2.1606683731079102e-07,True,True,True,True
qwen3-1.7b,lo,node_count,0.1,components,False,False,False,100,0.02,0.16,0.19,14.0,0.001312255859375,3.0,0.711071103811264,17.0,0.00022125244140625,True,True,False,True
qwen3-1.7b,lo,node_count,0.2,components,False,False,False,100,0.0,0.7,0.41,70.0,1.6940658945086007e-21,-29.0,5.703811637403078e-05,41.0,9.094947017729282e-13,True,True,True,True
qwen3-1.7b,lo,node_count,0.35,components,False,False,False,100,0.28,0.99,0.7,71.0,8.470329472543003e-22,-29.0,2.9802322387695312e-08,42.0,7.455210310203242e-09,True,True,True,True
qwen3-1.7b,lo,node_count,0.5,components,False,False,False,100,0.96,1.0,0.81,4.0,0.125,-19.0,3.814697265625e-06,-15.0,0.002599477767944336,False,False,True,True
qwen3-1.7b,lo,node_count,0.1,clustering,False,True,False,100,0.02,0.16,0.95,14.0,0.001312255859375,79.0,3.308722450212111e-24,93.0,2.0194839173657902e-28,True,True,True,True
qwen3-1.7b,lo,node_count,0.2,clustering,False,True,False,100,0.0,0.7,1.0,70.0,1.6940658945086007e-21,30.0,1.862645149230957e-09,100.0,1.5777218104420236e-30,True,True,True,True
qwen3-1.7b,lo,node_count,0.35,clustering,False,True,False,100,0.28,0.99,1.0,71.0,8.470329472543003e-22,1.0,1.0,72.0,4.235164736271502e-22,True,True,False,True
qwen3-1.7b,lo,node_count,0.5,clustering,False,True,False,100,0.96,1.0,1.0,4.0,0.125,0.0,1.0,4.0,0.125,True,False,False,False
qwen3-1.7b,lo,node_count,0.1,rwse,False,False,False,100,0.02,0.16,0.32,14.0,0.001312255859375,16.0,0.0070003666914999485,30.0,1.5366822481155396e-08,True,True,True,True
qwen3-1.7b,lo,node_count,0.2,rwse,False,False,False,100,0.0,0.7,0.17,70.0,1.6940658945086007e-21,-53.0,3.1086244689504383e-15,17.0,1.52587890625e-05,True,True,True,True
qwen3-1.7b,lo,node_count,0.35,rwse,False,False,False,100,0.28,0.99,0.55,71.0,8.470329472543003e-22,-44.0,1.1368683772161603e-13,27.0,0.00014197068519905542,True,True,True,True
qwen3-1.7b,lo,node_count,0.5,rwse,False,False,False,100,0.96,1.0,0.3,4.0,0.125,-70.0,1.6940658945086007e-21,-66.0,4.675621868843738e-19,False,False,True,True
qwen3-1.7b,lo,node_count,0.1,degree,True,False,False,100,0.02,0.16,0.03,14.0,0.001312255859375,-13.0,0.004425048828125,1.0,1.0,True,True,True,False
qwen3-1.7b,lo,node_count,0.2,degree,True,False,False,100,0.0,0.7,0.05,70.0,1.6940658945086007e-21,-65.0,5.057803134644878e-17,5.0,0.0625,True,True,True,False
qwen3-1.7b,lo,node_count,0.35,degree,True,False,False,100,0.28,0.99,0.45,71.0,8.470329472543003e-22,-54.0,1.582067810090848e-15,17.0,0.016094360031274846,True,True,True,True
qwen3-1.7b,lo,node_count,0.5,degree,True,False,False,100,0.96,1.0,1.0,4.0,0.125,0.0,1.0,4.0,0.125,True,False,False,False
qwen3-1.7b,lo,node_count,0.1,all,True,False,False,100,0.02,0.16,0.7,14.0,0.001312255859375,54.0,2.5917592724744587e-13,68.0,6.776263578034403e-21,True,True,True,True
qwen3-1.7b,lo,node_count,0.2,all,True,False,False,100,0.0,0.7,0.52,70.0,1.6940658945086007e-21,-18.0,0.011351591436778108,52.0,4.440892098500626e-16,True,True,True,True
qwen3-1.7b,lo,node_count,0.35,all,True,False,False,100,0.28,0.99,0.94,71.0,8.470329472543003e-22,-5.0,0.125,66.0,2.6371947296289014e-17,True,True,False,True
qwen3-1.7b,lo,node_count,0.5,all,True,False,False,100,0.96,1.0,0.98,4.0,0.125,-2.0,0.5,2.0,0.6875,True,False,False,False
qwen3-1.7b,lo,node_degree,0.1,components,False,False,False,100,0.91,0.96,0.92,5.0,0.125,-4.0,0.125,1.0,1.0,True,False,False,False
