arm,condition,p,prevalence,pred_yes,accuracy,tpr,tnr,balanced,n_positive,n_negative
qwen3-4b,rwse,0.1,0.1,0.14,0.96,1.0,0.9555555555555556,0.9777777777777779,10,90
qwen3-4b,rwse,0.2,0.18,0.29,0.89,1.0,0.8658536585365854,0.9329268292682926,18,82
qwen3-4b,rwse,0.35,0.31,0.61,0.7,1.0,0.5652173913043478,0.7826086956521738,31,69
qwen3-4b,rwse,0.5,0.48,0.81,0.67,1.0,0.36538461538461536,0.6826923076923077,48,52
qwen3-4b,rwse,0.65,0.66,0.74,0.9,0.9848484848484849,0.7352941176470589,0.8600713012477719,66,34
qwen3-4b,rwse,0.75,0.76,0.82,0.88,0.9605263157894737,0.625,0.7927631578947368,76,24
qwen3-4b,rwse,0.85,0.85,0.89,0.9,0.9647058823529412,0.5333333333333333,0.7490196078431373,85,15
qwen3-4b-think,all,0.1,0.1,0.1,0.96,1.0,0.9555555555555556,0.9777777777777779,10,90
qwen3-4b-think,all,0.2,0.18,0.18,0.99,1.0,0.9878048780487805,0.9939024390243902,18,82
qwen3-4b-think,all,0.35,0.31,0.31,1.0,1.0,1.0,1.0,31,69
qwen3-4b-think,all,0.5,0.48,0.48,1.0,1.0,1.0,1.0,48,52
qwen3-4b-think,all,0.65,0.66,0.66,1.0,1.0,1.0,1.0,66,34
qwen3-4b-think,all,0.75,0.76,0.76,1.0,1.0,1.0,1.0,76,24
qwen3-4b-think,all,0.85,0.85,0.86,0.99,1.0,0.9333333333333333,0.9666666666666667,85,15
qwen3-4b-think,clustering,0.1,0.1,0.1,0.97,1.0,0.9666666666666667,0.9833333333333334,10,90
qwen3-4b-think,clustering,0.2,0.18,0.18,0.99,1.0,0.9878048780487805,0.9939024390243902,18,82
qwen3-4b-think,clustering,0.35,0.31,0.31,1.0,1.0,1.0,1.0,31,69
qwen3-4b-think,clustering,0.5,0.48,0.48,1.0,1.0,1.0,1.0,48,52
qwen3-4b-think,clustering,0.65,0.66,0.66,1.0,1.0,1.0,1.0,66,34
qwen3-4b-think,clustering,0.75,0.76,0.76,1.0,1.0,1.0,1.0,76,24
qwen3-4b-think,clustering,0.85,0.85,0.85,1.0,1.0,1.0,1.0,85,15
qwen3-4b-think,components,0.1,0.1,0.1,0.99,1.0,0.9888888888888889,0.9944444444444445,10,90
qwen3-4b-think,components,0.2,0.18,0.18,0.99,1.0,0.9878048780487805,0.9939024390243902,18,82
qwen3-4b-think,components,0.35,0.31,0.31,1.0,1.0,1.0,1.0,31,69
qwen3-4b-think,components,0.5,0.48,0.48,0.99,1.0,0.9807692307692307,0.9903846153846154,48,52
qwen3-4b-think,components,0.65,0.66,0.66,1.0,1.0,1.0,1.0,66,34
qwen3-4b-think,components,0.75,0.76,0.76,1.0,1.0,1.0,1.0,76,24
qwen3-4b-think,components,0.85,0.85,0.85,1.0,1.0,1.0,1.0,85,15
qwen3-4b-think,degree,0.1,0.1,0.1,0.99,1.0,0.9888888888888889,0.9944444444444445,10,90
qwen3-4b-think,degree,0.2,0.18,0.18,1.0,1.0,1.0,1.0,18,82
qwen3-4b-think,degree,0.35,0.31,0.31,1.0,1.0,1.0,1.0,31,69
qwen3-4b-think,degree,0.5,0.48,0.48,1.0,1.0,1.0,1.0,48,52
qwen3-4b-think,degree,0.65,0.66,0.66,1.0,1.0,1.0,1.0,66,34
qwen3-4b-think,degree,0.75,0.76,0.76,1.0,1.0,1.0,1.0,76,24
qwen3-4b-think,degree,0.85,0.85,0.85,1.0,1.0,1.0,1.0,85,15
qwen3-4b-think,filler,0.1,0.1,0.1,0.99,1.0,0.9888888888888889,0.9944444444444445,10,90
qwen3-4b-think,filler,0.2,0.18,0.18,1.0,1.0,1.0,1.0,18,82
qwen3-4b-think,filler,0.35,0.31,0.31,1.0,1.0,1.0,1.0,31,69
qwen3-4b-think,filler,0.5,0.48,0.48,1.0,1.0,1.0,1.0,48,52
qwen3-4b-think,filler,0.65,0.66,0.66,1.0,1.0,1.0,1.0,66,34
qwen3-4b-think,filler,0.75,0.76,0.76,1.0,1.0,1.0,1.0,76,24
qwen3-4b-think,filler,0.85,0.85,0.85,1.0,1.0,1.0,1.0,85,15
qwen3-4b-think,none,0.1,0.1,0.1,0.99,1.0,0.9888888888888889,0.9944444444444445,10,90
qwen3-4b-think,none,0.2,0.18,0.18,1.0,1.0,1.0,1.0,18,82
qwen3-4b-think,none,0.35,0.31,0.31,1.0,1.0,1.0,1.0,31,69
qwen3-4b-think,none,0.5,0.48,0.48,1.0,1.0,1.0,1.0,48,52
qwen3-4b-think,none,0.65,0.66,0.66,1.0,1.0,1.0,1.0,66,34
qwen3-4b-think,none,0.75,0.76,0.76,1.0,1.0,1.0,1.0,76,24
qwen3-4b-think,none,0.85,0.85,0.83,0.98,0.9764705882352941,1.0,0.9882352941176471,85,15
qwen3-4b-think,rwse,0.1,0.1,0.1,0.96,1.0,0.9555555555555556,0.9777777777777779,10,90
qwen3-4b-think,rwse,0.2,0.18,0.17,0.98,0.9444444444444444,0.9878048780487805,0.9661246612466124,18,82
qwen3-4b-think,rwse,0.35,0.31,0.31,1.0,1.0,1.0,1.0,31,69
qwen3-4b-think,rwse,0.5,0.48,0.48,1.0,1.0,1.0,1.0,48,52
qwen3-4b-think,rwse,0.65,0.66,0.66,1.0,1.0,1.0,1.0,66,34
qwen3-4b-think,rwse,0.75,0.76,0.76,1.0,1.0,1.0,1.0,76,24
qwen3-4b-think,rwse,0.85,0.85,0.84,0.99,0.9882352941176471,1.0,0.9941176470588236,85,15
