arm,task,condition,p,n,success,exact,cap,parsed,tokens,f1
qwen3-1.7b,node_degree,none,0.5,100,0.3,0.3,0.0,1.0,226.5,
qwen3-1.7b,node_degree,none,0.65,100,0.08,0.08,0.01,1.0,288.5,
qwen3-1.7b,node_degree,none,0.75,100,0.16,0.16,0.0,1.0,280.5,
qwen3-1.7b,node_degree,none,0.85,100,0.05,0.05,0.0,1.0,267.5,
qwen3-1.7b,node_degree,rwse,0.1,100,0.94,0.94,0.0,1.0,82.0,
qwen3-1.7b,node_degree,rwse,0.2,100,0.84,0.84,0.0,1.0,111.5,
qwen3-1.7b,node_degree,rwse,0.35,100,0.47,0.47,0.01,1.0,148.0,
qwen3-1.7b,node_degree,rwse,0.5,100,0.33,0.33,0.0,1.0,245.5,
qwen3-1.7b,node_degree,rwse,0.65,100,0.07,0.07,0.0,1.0,324.0,
qwen3-1.7b,node_degree,rwse,0.75,100,0.05,0.05,0.0,1.0,328.5,
qwen3-1.7b,node_degree,rwse,0.85,100,0.01,0.01,0.0,1.0,330.0,
qwen3-1.7b-think,connected_nodes,all,0.1,100,1.0,1.0,0.0,1.0,874.0,1.0
qwen3-1.7b-think,connected_nodes,all,0.2,100,0.94,0.94,0.02,1.0,1073.0,0.9778777246145667
qwen3-1.7b-think,connected_nodes,all,0.35,100,0.78,0.78,0.0,1.0,1323.0,0.9826372084936374
qwen3-1.7b-think,connected_nodes,all,0.5,100,0.68,0.68,0.01,1.0,1706.5,0.9370465231651047
qwen3-1.7b-think,connected_nodes,clustering,0.1,100,0.94,0.95,0.01,1.0,857.5,0.9904615384615384
qwen3-1.7b-think,connected_nodes,clustering,0.2,100,0.96,0.96,0.0,1.0,1061.5,0.996875882012724
qwen3-1.7b-think,connected_nodes,clustering,0.35,100,0.66,0.66,0.0,1.0,1366.5,0.9732906612432748
qwen3-1.7b-think,connected_nodes,clustering,0.5,100,0.67,0.67,0.0,1.0,1671.5,0.9815498408267243
qwen3-1.7b-think,connected_nodes,components,0.1,100,0.93,0.94,0.03,1.0,1203.5,0.9815597735597735
qwen3-1.7b-think,connected_nodes,components,0.2,100,0.94,0.94,0.01,1.0,1063.5,0.980549494949495
