arm,task,control,condition,n,baseline,treatment,delta,lo,hi,fixed,broken,pvalue,qvalue
qwen3-1.7b-think,connected_nodes,none,degree,400,78.75,85.0,6.25,2.5,10.0,45,20,0.0026263768106840374,0.007879130432052113
qwen3-1.7b-think,connected_nodes,none,all,400,78.75,85.0,6.25,2.5,10.25,45,20,0.0026263768106840374,0.007879130432052113
qwen3-1.7b-think,connected_nodes,filler,none,400,81.25,78.75,-2.5,-6.000000000000001,1.0,22,32,0.22032849417661093,0.44065698835322187
qwen3-1.7b-think,connected_nodes,filler,components,400,81.25,81.25,0.0,-3.25,3.0000000000000004,22,22,1.0,1.0
qwen3-1.7b-think,connected_nodes,filler,clustering,400,81.25,80.75,-0.5,-4.0,2.7500000000000004,24,26,0.887724827340783,1.0
qwen3-1.7b-think,connected_nodes,filler,rwse,400,81.25,79.0,-2.25,-6.0,1.5,26,35,0.30567741986311836,0.45851612979467754
qwen3-1.7b-think,connected_nodes,filler,degree,400,81.25,85.0,3.75,6.852157730108418e-16,7.5,38,23,0.07217743850092258,0.21653231550276775
qwen3-1.7b-think,connected_nodes,filler,all,400,81.25,85.0,3.75,0.24999999999999997,7.250000000000001,34,19,0.053438810537711046,0.21653231550276775
qwen3-1.7b-think,cycle_check,none,filler,400,97.0,100.0,3.0,1.5,4.75,12,0,0.00048828125,0.0009765625
qwen3-1.7b-think,cycle_check,none,components,400,97.0,89.5,-7.5,-11.0,-4.0,12,42,5.209447200793526e-05,0.00015628341602380577
qwen3-1.7b-think,cycle_check,none,clustering,400,97.0,96.5,-0.5,-2.75,1.7500000000000002,10,12,0.8318119049072266,0.8318119049072266
qwen3-1.7b-think,cycle_check,none,rwse,400,97.0,99.25,2.25,0.5,4.0,11,2,0.0224609375,0.03369140625
qwen3-1.7b-think,cycle_check,none,degree,400,97.0,75.25,-21.75,-26.25,-17.25,8,95,5.109797372820077e-20,3.065878423692046e-19
qwen3-1.7b-think,cycle_check,none,all,400,97.0,96.25,-0.75,-3.25,1.7500000000000002,12,15,0.7011080384254456,0.8318119049072266
qwen3-1.7b-think,cycle_check,filler,none,400,100.0,97.0,-3.0,-4.75,-1.5,0,12,0.00048828125,0.0005859375
qwen3-1.7b-think,cycle_check,filler,components,400,100.0,89.5,-10.5,-13.750000000000002,-7.75,0,42,4.547473508864641e-13,1.3642420526593924e-12
qwen3-1.7b-think,cycle_check,filler,clustering,400,100.0,96.5,-3.5000000000000004,-5.499999999999999,-1.7500000000000002,0,14,0.0001220703125,0.00018310546875
qwen3-1.7b-think,cycle_check,filler,rwse,400,100.0,99.25,-0.75,-1.7500000000000002,0.0,0,3,0.25,0.25
qwen3-1.7b-think,cycle_check,filler,degree,400,100.0,75.25,-24.75,-28.749999999999996,-20.75,0,99,3.1554436208840472e-30,1.8932661725304283e-29
