arm,task,condition,n,success,exact,cap,f1
qwen3-4b-think,edge_existence,filler,400,0.9975,1.0,0.0025,
qwen3-4b-think,edge_existence,none,400,0.9975,1.0,0.0025,
qwen3-4b-think,edge_existence,rwse,400,0.985,0.9975,0.015,
qwen3-4b-think,node_count,all,400,1.0,1.0,0.0,
qwen3-4b-think,node_count,clustering,400,0.9975,1.0,0.0025,
qwen3-4b-think,node_count,components,400,0.995,0.995,0.0,
qwen3-4b-think,node_count,degree,400,0.9975,1.0,0.0025,
qwen3-4b-think,node_count,filler,400,1.0,1.0,0.0,
qwen3-4b-think,node_count,none,400,0.995,0.995,0.0,
qwen3-4b-think,node_count,rwse,400,0.9975,0.9975,0.0025,
qwen3-4b-think,node_degree,all,400,0.975,0.975,0.0175,
qwen3-4b-think,node_degree,clustering,400,0.9875,0.9875,0.0075,
qwen3-4b-think,node_degree,components,400,0.9725,0.9725,0.0225,
qwen3-4b-think,node_degree,degree,400,0.995,0.995,0.0025,
qwen3-4b-think,node_degree,filler,400,0.99,0.99,0.01,
qwen3-4b-think,node_degree,none,400,0.97,0.9725,0.0275,
qwen3-4b-think,node_degree,rwse,400,0.9575,0.9575,0.0225,
