p,index,graph_id,n_edges,mean_degree,components,triangles,mean_clustering,target,target_degree,target_clustering,edge_u,edge_v,rwse_unique,rwse_modal_share,rwse_unique_4dp,rwse_unique_6dp,degree_unique,clustering_unique
0.75,99,p0.75/99,608,30.4,1,4681,0.7800680587240431,0,25,0.7766666666666666,0,14,2,0.6,39,40,11,7
0.85,0,p0.85/0,672,33.6,1,6319,0.8623068276160357,1,36,0.8555555555555555,1,31,2,0.5,31,40,9,6
0.85,1,p0.85/1,648,32.4,1,5681,0.8334272539122107,1,29,0.8349753694581281,1,26,2,0.525,36,40,12,5
0.85,2,p0.85/2,658,32.9,1,5911,0.8414170832173269,12,33,0.8333333333333334,12,16,2,0.6,37,39,10,5
0.85,3,p0.85/3,665,33.25,1,6103,0.8508339175771329,29,32,0.8508064516129032,29,26,2,0.525,34,40,9,4
0.85,4,p0.85/4,658,32.9,1,5964,0.8476947853498638,15,35,0.8436974789915966,15,33,2,0.575,32,40,11,7
0.85,5,p0.85/5,687,34.35,1,6751,0.881396871162327,12,35,0.8890756302521008,12,24,2,0.5,26,40,9,4
0.85,6,p0.85/6,665,33.25,1,6093,0.8499803871317766,24,33,0.8465909090909091,24,1,2,0.6,29,40,8,3
0.85,7,p0.85/7,653,32.65,1,5780,0.8355489998422708,7,36,0.8333333333333334,7,10,2,0.6,34,40,10,5
0.85,8,p0.85/8,653,32.65,1,5812,0.8394638065862916,3,33,0.8238636363636364,3,2,2,0.55,39,40,11,7
0.85,9,p0.85/9,676,33.8,1,6456,0.869052184187986,17,32,0.8709677419354839,17,3,2,0.55,36,40,9,4
0.85,10,p0.85/10,664,33.2,1,6060,0.8480032666401918,25,35,0.8487394957983193,25,5,2,0.525,33,40,8,5
0.85,11,p0.85/11,667,33.35,1,6180,0.8557061603270691,14,35,0.8621848739495799,14,39,2,0.525,32,40,11,4
0.85,12,p0.85/12,656,32.8,1,5875,0.8414270379183989,32,36,0.834920634920635,32,38,2,0.6,34,40,11,5
0.85,13,p0.85/13,646,32.3,1,5601,0.8279592763049873,3,34,0.82174688057041,3,19,2,0.55,32,40,8,5
0.85,14,p0.85/14,656,32.8,1,5855,0.8391053998493284,27,32,0.8346774193548387,27,8,2,0.6,30,40,10,5
0.85,15,p0.85/15,665,33.25,1,6112,0.8521913672726334,21,35,0.8453781512605042,21,0,2,0.6,34,40,10,4
0.85,16,p0.85/16,649,32.45,1,5708,0.8346195115532655,0,33,0.8162878787878788,0,33,2,0.6,36,40,10,6
0.85,17,p0.85/17,663,33.15,1,6079,0.8511152567664727,0,33,0.8617424242424242,0,15,2,0.575,30,40,10,5
0.85,18,p0.85/18,661,33.05,1,6021,0.8487720349375047,21,35,0.8453781512605042,21,38,2,0.6,29,40,9,4
0.85,19,p0.85/19,670,33.5,1,6268,0.8591344821438124,27,27,0.8461538461538461,27,6,2,0.525,34,40,11,6
0.85,20,p0.85/20,662,33.1,1,6026,0.8475961693569491,1,29,0.874384236453202,1,4,2,0.55,37,40,10,5
