arm,task,density,n,acc,constant_gold,hit_cap_rate,mean_edges,encoding_chars,gold_magnitude,mean_signed_error,mean_abs_error,rho_n_edges,p_n_edges,rho_target_degree,p_target_degree,rho_pair_common_neighbors,p_pair_common_neighbors
qwen3-4b,edge_count,0.2,100,0.02,0,0.0,155.12,2553.55,155.12,-14.08,23.32,-0.11264369570259408,0.2644946985635113,,,,
qwen3-4b,edge_count,0.35,100,0.01,0,0.0,272.98,3438.21,272.98,-17.46,52.24,-0.1706881285454859,0.08952558117282271,,,,
qwen3-4b,edge_count,0.5,100,0.0,0,0.0,389.4,4312.33,389.4,-60.73,72.57,,,,,,
qwen3-4b-think,node_count,0.1,100,0.98,1,0.0,78.64,1957.69,40.0,-0.02,0.02,0.1647350407730055,0.10145308359409051,,,,
qwen3-4b-think,node_count,0.2,100,1.0,1,0.0,155.12,2553.55,40.0,0.0,0.0,,,,,,
qwen3-4b-think,node_count,0.35,100,1.0,1,0.0,272.98,3438.21,40.0,0.0,0.0,,,,,,
qwen3-4b-think,node_count,0.5,100,1.0,1,0.0,389.4,4312.33,40.0,0.0,0.0,,,,,,
qwen3-4b-think,cycle_check,0.1,100,0.98,1,0.02,78.64,1957.69,,,,0.09041848102578497,0.37097350109414884,,,,
qwen3-4b-think,cycle_check,0.2,100,1.0,1,0.0,155.12,2553.55,,,,,,,,,
qwen3-4b-think,cycle_check,0.35,100,0.99,1,0.01,272.98,3438.21,,,,-0.08708577987014587,0.38893666221252143,,,,
qwen3-4b-think,cycle_check,0.5,100,1.0,1,0.0,389.4,4312.33,,,,,,,,,
qwen3-4b-think,edge_existence,0.1,100,1.0,0,0.01,78.64,1957.69,,,,,,,,,
qwen3-4b-think,edge_existence,0.2,100,1.0,0,0.0,155.12,2553.55,,,,,,,,,
qwen3-4b-think,edge_existence,0.35,100,1.0,0,0.0,272.98,3438.21,,,,,,,,,
qwen3-4b-think,edge_existence,0.5,100,1.0,0,0.0,389.4,4312.33,,,,,,,,,
qwen3-4b-think,edge_existence,0.65,100,1.0,0,0.0,509.71,5212.56,,,,,,,,,
qwen3-4b-think,edge_existence,0.75,100,1.0,0,0.0,584.3,5773.75,,,,,,,,,
qwen3-4b-think,edge_existence,0.85,100,0.98,0,0.0,662.6,6360.46,,,,-0.013618766046404435,0.8930217083789804,0.036250478056331574,0.7202947288960431,0.12828228555511081,0.20338833479002824
qwen3-4b-think,node_degree,0.1,100,0.97,0,0.03,78.64,1957.69,3.98,0.42,0.44,-0.0182973583214305,0.8566122722541362,0.0966046306940327,0.33900182961317044,,
qwen3-4b-think,node_degree,0.2,100,0.95,0,0.05,155.12,2553.55,7.82,0.74,0.88,-0.005566020086416002,0.9561696681013467,0.15708759532653702,0.1185630612649322,,
qwen3-4b-think,node_degree,0.35,100,0.97,0,0.03,272.98,3438.21,13.99,-0.16,0.18,-0.03250860414667395,0.7481468970903687,-0.05525699203435838,0.5850383009734086,,
qwen3-4b-think,node_degree,0.5,100,1.0,0,0.0,389.4,4312.33,19.73,0.0,0.0,,,,,,
qwen3-4b-think,node_degree,0.65,100,1.0,0,0.0,509.71,5212.56,25.54,0.0,0.0,,,,,,
qwen3-4b-think,node_degree,0.75,100,0.97,0,0.01,584.3,5773.75,29.07,-0.1,0.1,-0.08433641696012138,0.40414087999611387,0.11143646012186124,0.2696815085591284,,
qwen3-4b-think,node_degree,0.85,100,0.96,0,0.0,662.6,6360.46,33.25,-0.05,0.05,-0.01769039349850154,0.8613205001930981,-0.08930549126290174,0.3769152775651676,,
qwen3-4b-think,connected_nodes,0.1,100,0.97,0,0.03,78.64,1957.69,,,,-0.07928855272619884,0.43295055969224217,0.09146608650817989,0.36543339952443804,,
qwen3-4b-think,connected_nodes,0.2,100,0.95,0,0.05,155.12,2553.55,,,,0.03975728633154287,0.6945191143465878,0.17471987643461767,0.0820994697382517,,
qwen3-4b-think,connected_nodes,0.35,100,0.99,0,0.03,272.98,3438.21,,,,0.07663548628572836,0.44854957158839176,0.03859624532479744,0.703016222664777,,
qwen3-4b-think,connected_nodes,0.5,100,0.97,0,0.02,389.4,4312.33,,,,-0.05383574708310677,0.5947433008492173,0.06652784572409515,0.5107673003091544,,
qwen3-4b-think,edge_count,0.1,100,0.65,0,0.6,78.64,1957.69,78.64,-15.54,21.5,0.016723590073008415,0.8688299613728644,,,,
qwen3-4b-think,edge_count,0.2,100,0.45,0,0.66,155.12,2553.55,155.12,-60.28,75.76,-0.034137523186161686,0.7359800058005564,,,,
qwen3-4b-think,edge_count,0.35,100,0.25,0,0.92,272.98,3438.21,272.98,-159.51,173.65,-0.14888026810259397,0.13931756676646936,,,,
qwen3-4b-think,edge_count,0.5,100,0.04,0,1.0,389.4,4312.33,389.4,-327.81,349.91,0.08665663735783934,0.3912870118599173,,,,
