arm,condition,density,n,acc,discrepancy,share_retrieve,acc_retrieve,share_assert,acc_assert,share_enumerate,acc_enumerate
qwen3-1.7b,clustering,0.75,100,0.11,0.0,0.0,,0.79,0.12658227848101267,0.21,0.047619047619047616
qwen3-1.7b,clustering,0.85,100,0.01,0.0,0.0,,0.82,0.012195121951219513,0.18,0.0
qwen3-1.7b,degree,0.1,100,0.94,0.0,0.04,1.0,0.94,0.9468085106382979,0.02,0.5
qwen3-1.7b,degree,0.2,100,0.9,0.0,0.02,1.0,0.87,0.9080459770114943,0.11,0.8181818181818182
qwen3-1.7b,degree,0.35,100,0.59,0.0,0.0,,0.49,0.5510204081632653,0.51,0.6274509803921569
qwen3-1.7b,degree,0.5,100,0.29,0.0,0.0,,0.55,0.3090909090909091,0.45,0.26666666666666666
qwen3-1.7b,degree,0.65,100,0.08,0.0,0.0,,0.45,0.15555555555555556,0.55,0.01818181818181818
qwen3-1.7b,degree,0.75,100,0.15,0.0,0.0,,0.72,0.18055555555555555,0.28,0.07142857142857142
qwen3-1.7b,degree,0.85,100,0.07,0.0,0.04,1.0,0.35,0.02857142857142857,0.61,0.03278688524590164
qwen3-1.7b,none,0.1,100,0.91,0.0,0.01,1.0,0.95,0.9157894736842105,0.04,0.75
qwen3-1.7b,none,0.2,100,0.8,0.0,0.0,,0.95,0.8105263157894737,0.05,0.6
qwen3-1.7b,none,0.35,100,0.41,0.0,0.0,,0.74,0.44594594594594594,0.26,0.3076923076923077
qwen3-1.7b,none,0.5,100,0.3,0.0,0.0,,0.51,0.4117647058823529,0.49,0.1836734693877551
qwen3-1.7b,none,0.65,99,0.08080808080808081,0.0,0.0,,0.35353535353535354,0.05714285714285714,0.6464646464646465,0.09375
qwen3-1.7b,none,0.75,100,0.16,0.0,0.0,,0.53,0.16981132075471697,0.47,0.14893617021276595
qwen3-1.7b,none,0.85,100,0.05,0.0,0.0,,0.61,0.08196721311475409,0.39,0.0
qwen3-1.7b,rwse,0.1,100,0.94,0.0,0.0,,0.98,0.9489795918367347,0.02,0.5
qwen3-1.7b,rwse,0.2,100,0.84,0.0,0.0,,0.9,0.8444444444444444,0.1,0.8
qwen3-1.7b,rwse,0.35,99,0.47474747474747475,0.0,0.0,,0.6363636363636364,0.47619047619047616,0.36363636363636365,0.4722222222222222
qwen3-1.7b,rwse,0.5,100,0.33,0.0,0.0,,0.49,0.32653061224489793,0.51,0.3333333333333333
qwen3-1.7b,rwse,0.65,100,0.07,0.0,0.0,,0.48,0.14583333333333334,0.52,0.0
qwen3-1.7b,rwse,0.75,100,0.05,0.0,0.0,,0.45,0.08888888888888889,0.55,0.01818181818181818
qwen3-1.7b,rwse,0.85,100,0.01,0.0,0.0,,0.5,0.02,0.5,0.0
