arm,n,k,edges,n_rows,acc,median_tokens,hit_cap_rate
qwen3-0.6b-think,120,16,960,50,0.38,671.5,0.04
qwen3-0.6b-think,160,8,640,50,0.6,399.0,0.0
qwen3-0.6b-think,160,12,960,50,0.38,517.0,0.06
qwen3-0.6b-think,200,12,1200,50,0.28,536.5,0.08
qwen3-0.6b-think,300,8,1200,50,0.44,480.5,0.0
qwen3-1.7b,40,8,160,50,0.84,93.5,0.0
qwen3-1.7b,40,12,240,50,0.48,129.5,0.0
qwen3-1.7b,40,16,320,50,0.4,193.0,0.0
qwen3-1.7b,60,8,240,50,0.72,97.0,0.0
qwen3-1.7b,60,12,360,50,0.44,137.0,0.0
qwen3-1.7b,60,16,480,50,0.28,219.0,0.0
qwen3-1.7b,80,4,160,50,0.88,82.0,0.0
qwen3-1.7b,80,8,320,50,0.64,95.0,0.0
qwen3-1.7b,80,12,480,50,0.4,139.5,0.0
qwen3-1.7b,80,16,640,50,0.24,218.5,0.0
qwen3-1.7b,120,4,240,50,0.76,81.0,0.0
qwen3-1.7b,120,8,480,50,0.66,97.0,0.02
qwen3-1.7b,120,12,720,50,0.36,135.5,0.0
qwen3-1.7b,120,16,960,50,0.22,253.0,0.0
qwen3-1.7b,160,8,640,50,0.58,105.5,0.0
qwen3-1.7b,160,12,960,50,0.3,201.0,0.0
qwen3-1.7b,200,12,1200,50,0.4,216.5,0.0
qwen3-1.7b,300,8,1200,50,0.4,122.0,0.02
qwen3-1.7b-think,40,8,160,50,0.92,1029.0,0.0
qwen3-1.7b-think,40,12,240,50,0.82,1088.5,0.0
qwen3-1.7b-think,40,16,320,50,0.58,1224.5,0.0
qwen3-1.7b-think,60,8,240,50,0.88,830.0,0.0
qwen3-1.7b-think,60,12,360,50,0.74,923.5,0.0
qwen3-1.7b-think,60,16,480,50,0.32,1178.0,0.0
qwen3-1.7b-think,80,4,160,50,0.94,935.5,0.0
qwen3-1.7b-think,80,8,320,50,0.72,1006.0,0.02
qwen3-1.7b-think,80,12,480,50,0.56,1085.0,0.0
qwen3-1.7b-think,80,16,640,50,0.44,1218.0,0.0
qwen3-1.7b-think,120,4,240,50,0.82,785.0,0.04
qwen3-1.7b-think,120,8,480,50,0.74,945.5,0.04
qwen3-1.7b-think,120,12,720,50,0.62,991.5,0.0
qwen3-1.7b-think,120,16,960,50,0.38,1102.0,0.0
qwen3-1.7b-think,160,8,640,50,0.78,898.5,0.0
qwen3-1.7b-think,160,12,960,50,0.48,1071.5,0.0
qwen3-1.7b-think,200,12,1200,50,0.44,968.0,0.02
qwen3-1.7b-think,300,8,1200,50,0.58,921.0,0.06
qwen3-14b,40,8,160,50,1.0,93.0,0.0
qwen3-14b,40,12,240,50,1.0,150.5,0.0
qwen3-14b,40,16,320,50,0.94,161.0,0.0
qwen3-14b,60,8,240,50,1.0,102.0,0.0
qwen3-14b,60,12,360,50,0.96,135.0,0.0
qwen3-14b,60,16,480,50,0.74,165.0,0.0
qwen3-14b,80,4,160,50,1.0,83.5,0.0
