arm,task,density,condition,n,base_acc_pts,band,delta_vs_none_pts,delta_vs_filler_pts,sig_vs_none,sig_vs_filler,content_effect
qwen3-1.7b,connected_nodes,0.35,rwse,100,59.0,50-80,2.0000000000000018,12.0,0,0,0
qwen3-1.7b,connected_nodes,0.35,components,100,59.0,50-80,5.000000000000004,15.000000000000002,0,1,0
qwen3-1.7b,connected_nodes,0.35,all,100,59.0,50-80,15.000000000000002,25.0,0,1,0
qwen3-1.7b,connected_nodes,0.5,degree,100,48.0,20-50,3.0000000000000027,13.0,0,0,0
qwen3-1.7b,connected_nodes,0.5,clustering,100,48.0,20-50,4.0000000000000036,14.000000000000002,0,1,0
qwen3-1.7b,connected_nodes,0.5,rwse,100,48.0,20-50,1.0000000000000009,10.999999999999998,0,0,0
qwen3-1.7b,connected_nodes,0.5,components,100,48.0,20-50,-1.0000000000000009,8.999999999999996,0,0,0
qwen3-1.7b,connected_nodes,0.5,all,100,48.0,20-50,2.0000000000000018,12.0,0,0,0
qwen3-1.7b,edge_count,0.1,degree,100,3.0,<20,3.0,6.0,0,0,0
qwen3-1.7b,edge_count,0.1,clustering,100,3.0,<20,-3.0,0.0,0,0,0
qwen3-1.7b,edge_count,0.1,rwse,100,3.0,<20,-3.0,0.0,0,0,0
qwen3-1.7b,edge_count,0.1,components,100,3.0,<20,-3.0,0.0,0,0,0
qwen3-1.7b,edge_count,0.1,all,100,3.0,<20,-3.0,0.0,0,0,0
qwen3-1.7b,edge_count,0.2,degree,100,2.0,<20,0.9999999999999999,0.0,0,0,0
qwen3-1.7b,edge_count,0.2,clustering,100,2.0,<20,0.9999999999999999,0.0,0,0,0
qwen3-1.7b,edge_count,0.2,rwse,100,2.0,<20,0.0,-0.9999999999999999,0,0,0
qwen3-1.7b,edge_count,0.2,components,100,2.0,<20,-1.0,-1.9999999999999998,0,0,0
qwen3-1.7b,edge_count,0.2,all,100,2.0,<20,-1.0,-1.9999999999999998,0,0,0
qwen3-1.7b,edge_count,0.35,degree,100,0.0,<20,1.0,1.0,0,0,0
qwen3-1.7b,edge_count,0.35,clustering,100,0.0,<20,0.0,0.0,0,0,0
qwen3-1.7b,edge_count,0.35,rwse,100,0.0,<20,0.0,0.0,0,0,0
qwen3-1.7b,edge_count,0.35,components,100,0.0,<20,0.0,0.0,0,0,0
qwen3-1.7b,edge_count,0.35,all,100,0.0,<20,4.0,4.0,0,0,0
qwen3-1.7b,edge_count,0.5,degree,100,0.0,<20,7.000000000000001,7.000000000000001,0,0,0
qwen3-1.7b,edge_count,0.5,clustering,100,0.0,<20,0.0,0.0,0,0,0
qwen3-1.7b,edge_count,0.5,rwse,100,0.0,<20,0.0,0.0,0,0,0
qwen3-1.7b,edge_count,0.5,components,100,0.0,<20,0.0,0.0,0,0,0
qwen3-1.7b,edge_count,0.5,all,100,0.0,<20,3.0,3.0,0,0,0
qwen3-1.7b-think,edge_existence,0.1,degree,100,100.0,>95,-3.0000000000000027,0.0,0,0,0
qwen3-1.7b-think,edge_existence,0.1,clustering,100,100.0,>95,-2.0000000000000018,1.0000000000000009,0,0,0
qwen3-1.7b-think,edge_existence,0.1,rwse,100,100.0,>95,0.0,3.0000000000000027,0,0,0
qwen3-1.7b-think,edge_existence,0.1,components,100,100.0,>95,-1.0000000000000009,2.0000000000000018,0,0,0
qwen3-1.7b-think,edge_existence,0.1,all,100,100.0,>95,-4.0000000000000036,-1.0000000000000009,0,0,0
qwen3-1.7b-think,edge_existence,0.2,degree,100,100.0,>95,-5.000000000000004,-3.0000000000000027,0,0,0
qwen3-1.7b-think,edge_existence,0.2,clustering,100,100.0,>95,-2.0000000000000018,0.0,0,0,0
qwen3-1.7b-think,edge_existence,0.2,rwse,100,100.0,>95,-5.000000000000004,-3.0000000000000027,0,0,0
qwen3-1.7b-think,edge_existence,0.2,components,100,100.0,>95,-3.0000000000000027,-1.0000000000000009,0,0,0
qwen3-1.7b-think,edge_existence,0.2,all,100,100.0,>95,-4.0000000000000036,-2.0000000000000018,0,0,0
qwen3-1.7b-think,edge_existence,0.35,degree,100,97.0,>95,0.0,-3.0000000000000027,0,0,0
qwen3-1.7b-think,edge_existence,0.35,clustering,100,97.0,>95,2.0000000000000018,-1.0000000000000009,0,0,0
qwen3-1.7b-think,edge_existence,0.35,rwse,100,97.0,>95,0.0,-3.0000000000000027,0,0,0
qwen3-1.7b-think,edge_existence,0.35,components,100,97.0,>95,1.0000000000000009,-2.0000000000000018,0,0,0
qwen3-1.7b-think,edge_existence,0.35,all,100,97.0,>95,0.0,-3.0000000000000027,0,0,0
qwen3-1.7b-think,edge_existence,0.5,degree,100,100.0,>95,-1.0000000000000009,0.0,0,0,0
qwen3-1.7b-think,edge_existence,0.5,clustering,100,100.0,>95,-2.0000000000000018,-1.0000000000000009,0,0,0
qwen3-1.7b-think,edge_existence,0.5,rwse,100,100.0,>95,0.0,1.0000000000000009,0,0,0
qwen3-1.7b-think,edge_existence,0.5,components,100,100.0,>95,0.0,1.0000000000000009,0,0,0
qwen3-1.7b-think,edge_existence,0.5,all,100,100.0,>95,0.0,1.0000000000000009,0,0,0
qwen3-1.7b-think,edge_existence,0.65,degree,100,99.0,>95,1.0000000000000009,1.0000000000000009,0,0,0
qwen3-1.7b-think,edge_existence,0.65,clustering,100,99.0,>95,0.0,0.0,0,0,0
qwen3-1.7b-think,edge_existence,0.65,rwse,100,99.0,>95,1.0000000000000009,1.0000000000000009,0,0,0
qwen3-1.7b-think,edge_existence,0.65,components,100,99.0,>95,0.0,0.0,0,0,0
qwen3-1.7b-think,edge_existence,0.65,all,100,99.0,>95,-2.0000000000000018,-2.0000000000000018,0,0,0
qwen3-1.7b-think,edge_existence,0.75,degree,100,98.0,>95,0.0,-1.0000000000000009,0,0,0
qwen3-1.7b-think,edge_existence,0.75,clustering,100,98.0,>95,2.0000000000000018,1.0000000000000009,0,0,0
qwen3-1.7b-think,edge_existence,0.75,rwse,100,98.0,>95,1.0000000000000009,0.0,0,0,0
qwen3-1.7b-think,edge_existence,0.75,components,100,98.0,>95,0.0,-1.0000000000000009,0,0,0
qwen3-1.7b-think,edge_existence,0.75,all,100,98.0,>95,1.0000000000000009,0.0,0,0,0
qwen3-1.7b-think,edge_existence,0.85,degree,100,100.0,>95,-3.0000000000000027,0.0,0,0,0
qwen3-1.7b-think,edge_existence,0.85,clustering,100,100.0,>95,-3.0000000000000027,0.0,0,0,0
