arm,task,density,condition,matched,delta_vs_filler,delta_vs_none
qwen3-1.7b,node_degree,0.85,rwse,0,-0.019999999999999997,-0.04
qwen3-1.7b,node_degree,0.85,components,0,0.010000000000000002,-0.010000000000000002
qwen3-1.7b,node_degree,0.85,all,0,0.020000000000000004,0.0
qwen3-1.7b,connected_nodes,0.1,filler,0,0.0,0.0
qwen3-1.7b,connected_nodes,0.1,degree,0,0.04999999999999993,0.04999999999999993
qwen3-1.7b,connected_nodes,0.1,clustering,0,-0.020000000000000018,-0.020000000000000018
qwen3-1.7b,connected_nodes,0.1,rwse,0,0.05999999999999994,0.05999999999999994
qwen3-1.7b,connected_nodes,0.1,components,1,0.0,0.0
qwen3-1.7b,connected_nodes,0.1,all,0,-0.020000000000000018,-0.020000000000000018
qwen3-1.7b,connected_nodes,0.2,filler,0,0.0,-0.050000000000000044
qwen3-1.7b,connected_nodes,0.2,degree,0,0.06000000000000005,0.010000000000000009
qwen3-1.7b,connected_nodes,0.2,clustering,0,0.040000000000000036,-0.010000000000000009
qwen3-1.7b,connected_nodes,0.2,rwse,0,0.0,-0.050000000000000044
qwen3-1.7b,connected_nodes,0.2,components,1,0.040000000000000036,-0.010000000000000009
qwen3-1.7b,connected_nodes,0.2,all,0,-0.020000000000000018,-0.07000000000000006
qwen3-1.7b,connected_nodes,0.35,filler,0,0.0,-0.09999999999999998
qwen3-1.7b,connected_nodes,0.35,degree,0,0.15000000000000002,0.050000000000000044
qwen3-1.7b,connected_nodes,0.35,clustering,0,0.14,0.040000000000000036
qwen3-1.7b,connected_nodes,0.35,rwse,0,0.12,0.020000000000000018
qwen3-1.7b,connected_nodes,0.35,components,1,0.15000000000000002,0.050000000000000044
qwen3-1.7b,connected_nodes,0.35,all,0,0.25,0.15000000000000002
qwen3-1.7b,connected_nodes,0.5,filler,0,0.0,-0.09999999999999998
qwen3-1.7b,connected_nodes,0.5,degree,0,0.13,0.030000000000000027
qwen3-1.7b,connected_nodes,0.5,clustering,0,0.14,0.040000000000000036
qwen3-1.7b,connected_nodes,0.5,rwse,0,0.10999999999999999,0.010000000000000009
qwen3-1.7b,connected_nodes,0.5,components,1,0.08999999999999997,-0.010000000000000009
qwen3-1.7b,connected_nodes,0.5,all,0,0.12,0.020000000000000018
qwen3-1.7b,edge_count,0.1,filler,0,0.0,-0.03
qwen3-1.7b,edge_count,0.1,degree,1,0.06,0.03
qwen3-1.7b,edge_count,0.1,clustering,0,0.0,-0.03
qwen3-1.7b,edge_count,0.1,rwse,0,0.0,-0.03
qwen3-1.7b,edge_count,0.1,components,0,0.0,-0.03
qwen3-1.7b,edge_count,0.1,all,0,0.0,-0.03
qwen3-1.7b,edge_count,0.2,filler,0,0.0,0.009999999999999998
qwen3-1.7b,edge_count,0.2,degree,1,0.0,0.009999999999999998
qwen3-1.7b,edge_count,0.2,clustering,0,0.0,0.009999999999999998
qwen3-1.7b,edge_count,0.2,rwse,0,-0.009999999999999998,0.0
qwen3-1.7b,edge_count,0.2,components,0,-0.019999999999999997,-0.01
qwen3-1.7b,edge_count,0.2,all,0,-0.019999999999999997,-0.01
qwen3-1.7b,edge_count,0.35,filler,0,0.0,0.0
qwen3-1.7b,edge_count,0.35,degree,1,0.01,0.01
qwen3-1.7b,edge_count,0.35,clustering,0,0.0,0.0
qwen3-1.7b,edge_count,0.35,rwse,0,0.0,0.0
qwen3-1.7b,edge_count,0.35,components,0,0.0,0.0
qwen3-1.7b,edge_count,0.35,all,0,0.04,0.04
qwen3-1.7b,edge_count,0.5,filler,0,0.0,0.0
qwen3-1.7b,edge_count,0.5,degree,1,0.07,0.07
qwen3-1.7b,edge_count,0.5,clustering,0,0.0,0.0
qwen3-1.7b,edge_count,0.5,rwse,0,0.0,0.0
qwen3-1.7b,edge_count,0.5,components,0,0.0,0.0
qwen3-1.7b,edge_count,0.5,all,0,0.03,0.03
qwen3-1.7b-think,node_count,0.1,filler,0,0.0,0.010000000000000009
qwen3-1.7b-think,node_count,0.1,degree,0,-0.010000000000000009,0.0
qwen3-1.7b-think,node_count,0.1,clustering,0,0.0,0.010000000000000009
qwen3-1.7b-think,node_count,0.1,rwse,0,0.0,0.010000000000000009
qwen3-1.7b-think,node_count,0.1,components,0,-0.020000000000000018,-0.010000000000000009
qwen3-1.7b-think,node_count,0.1,all,0,0.0,0.010000000000000009
qwen3-1.7b-think,node_count,0.2,filler,0,0.0,0.030000000000000027
qwen3-1.7b-think,node_count,0.2,degree,0,-0.010000000000000009,0.020000000000000018
qwen3-1.7b-think,node_count,0.2,clustering,0,0.0,0.030000000000000027
qwen3-1.7b-think,node_count,0.2,rwse,0,0.0,0.030000000000000027
qwen3-1.7b-think,node_count,0.2,components,0,-0.030000000000000027,0.0
qwen3-1.7b-think,node_count,0.2,all,0,0.0,0.030000000000000027
qwen3-1.7b-think,node_count,0.35,filler,0,0.0,0.16000000000000003
qwen3-1.7b-think,node_count,0.35,degree,0,-0.030000000000000027,0.13
qwen3-1.7b-think,node_count,0.35,clustering,0,0.0,0.16000000000000003
qwen3-1.7b-think,node_count,0.35,rwse,0,0.0,0.16000000000000003
qwen3-1.7b-think,node_count,0.35,components,0,-0.050000000000000044,0.10999999999999999
qwen3-1.7b-think,node_count,0.35,all,0,0.0,0.16000000000000003
qwen3-1.7b-think,node_count,0.5,filler,0,0.0,0.10999999999999999
qwen3-1.7b-think,node_count,0.5,degree,0,-0.010000000000000009,0.09999999999999998
