arm,task,condition,n,acc_0_9,n_0_9,acc_10_19,n_10_19,acc_20_29,n_20_29,acc_30_39,n_30_39,rho_position,p_position,first10_minus_last10,slope_pts,slope_lo,slope_hi
qwen3-4b-think,node_degree,degree,697,1.0,193,0.9941860465116279,172,0.9653179190751445,173,0.9874213836477987,159,-0.07370243397888382,0.051780587788096306,0.012578616352201255,-2.782040349722734,-5.356634942431313,-0.6692288397006461
qwen3-4b-think,node_degree,clustering,696,0.9948186528497409,193,0.9767441860465116,172,0.9767441860465116,172,0.9874213836477987,159,-0.022340958417693325,0.5562578060568577,0.007397269201942169,-0.8894286380079122,-3.731238557877652,1.5251734787438622
qwen3-4b-think,node_degree,rwse,688,0.9947916666666666,192,0.9767441860465116,172,0.9823529411764705,170,0.9545454545454546,154,-0.0843199681051132,0.02699362045964627,0.040246212121212044,-4.165796761096201,-8.184242492186419,-0.7982137246326356
qwen3-4b-think,node_degree,components,689,0.9896373056994818,193,0.9704142011834319,169,0.9883040935672515,171,0.967948717948718,156,-0.037484293344722495,0.32586499120202633,0.021688587750763877,-1.7575897916887941,-5.297807644364865,1.3822704198368354
qwen3-4b-think,node_degree,all,690,1.0,191,0.9883040935672515,171,0.9825581395348837,172,0.9871794871794872,156,-0.04503270279973484,0.23745698189027473,0.012820512820512775,-1.4881160215210643,-3.570168184304563,0.31883246025317974
qwen3-4b-think,connected_nodes,none,387,0.9912280701754386,114,0.99,100,1.0,85,0.9659090909090909,88,-0.08021723812206254,0.11514247091400874,0.02531897926634763,-3.1256095484010524,-8.096860482457764,1.240291621682413
qwen3-4b-think,connected_nodes,filler,389,0.991304347826087,115,0.98989898989899,99,1.0,84,1.0,91,0.04146833585544148,0.41472765918692345,-0.008695652173912993,1.0483272498311702,-0.05662989038850841,3.4592723380187618
qwen3-4b-think,connected_nodes,degree,388,1.0,115,0.99,100,0.9878048780487805,82,0.978021978021978,91,-0.07076205824035697,0.164195694704627,0.02197802197802201,-2.363712489099408,-6.491850126176639,0.3352490001330953
qwen3-4b-think,connected_nodes,clustering,382,1.0,116,0.98989898989899,99,1.0,80,0.9770114942528736,87,-0.09187914738471212,0.07286553491564134,0.02298850574712641,-2.718575647473578,-6.985251783270371,-0.06989481413480804
qwen3-4b-think,connected_nodes,rwse,388,1.0,116,1.0,98,0.9759036144578314,83,0.978021978021978,91,-0.0961725336333502,0.05840359095384816,0.02197802197802201,-3.1498096390520245,-7.219421875873435,-0.385596812261923
qwen3-4b-think,connected_nodes,components,386,1.0,114,1.0,100,0.9882352941176471,85,0.9885057471264368,87,-0.07289216132309953,0.15290044903408176,0.011494252873563204,-1.7325069556183788,-5.234043495759155,-0.3191035231097268
qwen3-4b-think,connected_nodes,all,383,1.0,115,1.0,100,0.9759036144578314,83,0.9529411764705882,85,-0.13355491682278106,0.00887294071519246,0.04705882352941182,-5.629520205207517,-11.483420343304934,-1.2571574019600347
