arm,task,density,condition,n,baseline,delta,acc,trunc_a,trunc_b,flagged,bar,bar_none,carries,p,q
qwen3-1.7b,edge_existence,0.5,components,100,0.54,-3.0000000000000027,0.51,0.0,0.0,False,0.7352380952380952,0.7352380952380952,False,0.375,0.7720588235294118
qwen3-1.7b,edge_existence,0.5,clustering,100,0.54,13.0,0.67,0.0,0.0,False,0.7266666666666667,0.7352380952380952,False,0.0009765625,0.008544921875
qwen3-1.7b,edge_existence,0.5,rwse,100,0.54,13.0,0.67,0.0,0.0,False,0.5538095238095239,0.7352380952380952,False,0.002349853515625,0.016448974609375
qwen3-1.7b,edge_existence,0.5,degree,100,0.54,24.0,0.78,0.0,0.0,False,0.7457142857142857,0.7352380952380952,False,8.046627044677734e-07,1.4081597328186035e-05
qwen3-1.7b,edge_existence,0.5,all,100,0.54,26.0,0.8,0.0,0.0,False,0.7409523809523809,0.7352380952380952,False,2.1606683731079102e-07,7.5623393058776855e-06
qwen3-1.7b,edge_existence,0.65,components,100,0.68,-2.0000000000000018,0.66,0.0,0.0,False,0.7352380952380952,0.7352380952380952,False,0.5,0.8333333333333334
qwen3-1.7b,edge_existence,0.65,clustering,100,0.68,-1.0000000000000009,0.67,0.0,0.0,False,0.7266666666666667,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.65,rwse,100,0.68,1.9999999999999907,0.7,0.0,0.0,False,0.5538095238095239,0.7352380952380952,False,0.6875,1.0
qwen3-1.7b,edge_existence,0.65,degree,100,0.68,2.9999999999999916,0.71,0.0,0.0,False,0.7457142857142857,0.7352380952380952,False,0.25,0.6226399739583334
qwen3-1.7b,edge_existence,0.65,all,100,0.68,7.9999999999999964,0.76,0.0,0.0,False,0.7409523809523809,0.7352380952380952,False,0.0078125,0.045572916666666664
qwen3-1.7b,edge_existence,0.75,components,100,0.77,0.0,0.77,0.0,0.0,False,0.7352380952380952,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.75,clustering,100,0.77,4.999999999999993,0.82,0.0,0.0,False,0.7266666666666667,0.7352380952380952,False,0.2265625,0.6099759615384616
qwen3-1.7b,edge_existence,0.75,rwse,100,0.77,0.0,0.77,0.0,0.0,False,0.5538095238095239,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.75,degree,100,0.77,1.0000000000000009,0.78,0.0,0.04,False,0.7457142857142857,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.75,all,100,0.77,8.999999999999996,0.86,0.0,0.0,False,0.7409523809523809,0.7352380952380952,False,0.01171875,0.05859375
qwen3-1.7b,edge_existence,0.85,components,100,0.86,-1.0000000000000009,0.85,0.0,0.0,False,0.7352380952380952,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.85,clustering,100,0.86,0.0,0.86,0.0,0.0,False,0.7266666666666667,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.85,rwse,100,0.86,1.0000000000000009,0.87,0.0,0.0,False,0.5538095238095239,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.85,degree,100,0.86,2.0000000000000018,0.88,0.0,0.0,False,0.7457142857142857,0.7352380952380952,False,0.625,0.9943181818181818
qwen3-1.7b,edge_existence,0.85,all,100,0.86,3.0000000000000027,0.89,0.0,0.0,False,0.7409523809523809,0.7352380952380952,False,0.453125,0.79296875
qwen3-1.7b,node_degree,0.1,components,100,0.91,1.0000000000000009,0.92,0.0,0.0,False,0.1442857142857143,0.1442857142857143,False,1.0,1.0
qwen3-1.7b,node_degree,0.1,clustering,100,0.91,2.0000000000000018,0.93,0.0,0.0,False,0.1442857142857143,0.1442857142857143,False,0.75390625,1.0
qwen3-1.7b,node_degree,0.1,rwse,100,0.91,2.9999999999999916,0.94,0.0,0.0,False,0.21047619047619048,0.1442857142857143,False,0.5078125,0.9874131944444444
qwen3-1.7b,node_degree,0.1,degree,100,0.91,2.9999999999999916,0.94,0.0,0.0,False,1.0,0.1442857142857143,True,0.453125,0.9874131944444444
qwen3-1.7b,node_degree,0.1,all,100,0.91,5.999999999999995,0.97,0.0,0.0,False,1.0,0.1442857142857143,True,0.14599609375,0.63873291015625
qwen3-1.7b,node_degree,0.2,components,100,0.8,1.9999999999999907,0.82,0.0,0.0,False,0.1442857142857143,0.1442857142857143,False,0.7744140625,1.0
qwen3-1.7b,node_degree,0.2,clustering,100,0.8,1.9999999999999907,0.82,0.0,0.0,False,0.1442857142857143,0.1442857142857143,False,0.8318119049072266,1.0
qwen3-1.7b,node_degree,0.2,rwse,100,0.8,3.9999999999999925,0.84,0.0,0.0,False,0.21047619047619048,0.1442857142857143,False,0.480682373046875,0.9874131944444444
qwen3-1.7b,node_degree,0.2,degree,100,0.8,9.999999999999998,0.9,0.0,0.0,False,1.0,0.1442857142857143,True,0.012939453125,0.12003411926343688
qwen3-1.7b,node_degree,0.2,all,100,0.8,9.999999999999998,0.9,0.0,0.0,False,1.0,0.1442857142857143,True,0.052478790283203125,0.3673515319824219
qwen3-1.7b,node_degree,0.35,components,100,0.41,3.0000000000000027,0.44,0.0,0.0,False,0.1442857142857143,0.1442857142857143,False,0.6776394844055176,1.0
qwen3-1.7b,node_degree,0.35,clustering,100,0.41,6.0,0.47,0.0,0.0,False,0.1442857142857143,0.1442857142857143,False,0.40503224614076316,0.9450752409951141
qwen3-1.7b,node_degree,0.35,rwse,100,0.41,6.0,0.47,0.0,0.01,False,0.21047619047619048,0.1442857142857143,False,0.39152830513194203,0.9450752409951141
qwen3-1.7b,node_degree,0.35,degree,100,0.41,18.0,0.59,0.0,0.0,False,1.0,0.1442857142857143,True,0.00393317302223295,0.12003411926343688
qwen3-1.7b,node_degree,0.35,all,100,0.41,17.0,0.58,0.0,0.0,False,1.0,0.1442857142857143,True,0.0137181850586785,0.12003411926343688
qwen3-1.7b,node_degree,0.5,components,100,0.3,1.0000000000000009,0.31,0.0,0.0,False,0.1442857142857143,0.1442857142857143,False,1.0,1.0
qwen3-1.7b,node_degree,0.5,clustering,100,0.3,2.0000000000000018,0.32,0.0,0.0,False,0.1442857142857143,0.1442857142857143,False,0.8450189828872681,1.0
qwen3-1.7b,node_degree,0.5,rwse,100,0.3,3.0000000000000027,0.33,0.0,0.0,False,0.21047619047619048,0.1442857142857143,False,0.711071103811264,1.0
qwen3-1.7b,node_degree,0.5,degree,100,0.3,-1.0000000000000009,0.29,0.0,0.0,False,1.0,0.1442857142857143,True,1.0,1.0
qwen3-1.7b,node_degree,0.5,all,100,0.3,8.000000000000002,0.38,0.0,0.0,False,1.0,0.1442857142857143,True,0.2429849540349096,0.7731339446565305
qwen3-1.7b,node_degree,0.65,components,100,0.08,6.000000000000001,0.14,0.01,0.0,False,0.1442857142857143,0.1442857142857143,False,0.14599609375,0.63873291015625
qwen3-1.7b,node_degree,0.65,clustering,100,0.08,-0.9999999999999996,0.07,0.01,0.0,False,0.1442857142857143,0.1442857142857143,False,1.0,1.0
qwen3-1.7b,node_degree,0.65,rwse,100,0.08,-0.9999999999999996,0.07,0.01,0.0,False,0.21047619047619048,0.1442857142857143,False,1.0,1.0
qwen3-1.7b,node_degree,0.65,degree,100,0.08,0.0,0.08,0.01,0.0,False,1.0,0.1442857142857143,True,1.0,1.0
qwen3-1.7b,node_degree,0.65,all,100,0.08,6.999999999999999,0.15,0.01,0.0,False,1.0,0.1442857142857143,True,0.143463134765625,0.63873291015625
qwen3-1.7b,node_degree,0.75,components,100,0.16,-4.000000000000001,0.12,0.0,0.0,False,0.1442857142857143,0.1442857142857143,False,0.3876953125,0.9450752409951141
qwen3-1.7b,node_degree,0.75,clustering,100,0.16,-5.0,0.11,0.0,0.0,False,0.1442857142857143,0.1442857142857143,False,0.38331031799316406,0.9450752409951141
qwen3-1.7b,node_degree,0.75,rwse,100,0.16,-11.0,0.05,0.0,0.0,False,0.21047619047619048,0.1442857142857143,False,0.012725830078125,0.12003411926343688
qwen3-1.7b,node_degree,0.75,degree,100,0.16,-1.0000000000000009,0.15,0.0,0.0,False,1.0,0.1442857142857143,True,1.0,1.0
qwen3-1.7b,node_degree,0.75,all,100,0.16,1.0000000000000009,0.17,0.0,0.0,False,1.0,0.1442857142857143,True,1.0,1.0
qwen3-1.7b,node_degree,0.85,components,100,0.05,-1.0000000000000002,0.04,0.0,0.0,False,0.1442857142857143,0.1442857142857143,False,1.0,1.0
qwen3-1.7b,node_degree,0.85,clustering,100,0.05,-4.0,0.01,0.0,0.0,False,0.1442857142857143,0.1442857142857143,False,0.21875,0.765625
qwen3-1.7b,node_degree,0.85,rwse,100,0.05,-4.0,0.01,0.0,0.0,False,0.21047619047619048,0.1442857142857143,False,0.21875,0.765625
qwen3-1.7b,node_degree,0.85,degree,100,0.05,2.0000000000000004,0.07,0.0,0.0,False,1.0,0.1442857142857143,True,0.7744140625,1.0
qwen3-1.7b,node_degree,0.85,all,100,0.05,0.0,0.05,0.0,0.0,False,1.0,0.1442857142857143,True,1.0,1.0
qwen3-1.7b-think,connected_nodes,0.1,components,100,0.92,1.0000000000000009,0.93,0.03,0.03,False,0.0,0.0,False,1.0,1.0
qwen3-1.7b-think,connected_nodes,0.1,clustering,100,0.92,1.9999999999999907,0.94,0.03,0.01,False,0.0,0.0,False,0.75390625,1.0
qwen3-1.7b-think,connected_nodes,0.1,rwse,100,0.92,5.999999999999995,0.98,0.03,0.0,False,0.0014285714285714286,0.0,False,0.03125,0.125
qwen3-1.7b-think,connected_nodes,0.1,degree,100,0.92,0.0,0.92,0.03,0.02,False,0.0014285714285714286,0.0,False,1.0,1.0
qwen3-1.7b-think,connected_nodes,0.1,all,100,0.92,7.9999999999999964,1.0,0.03,0.0,False,0.008095238095238096,0.0,False,0.0078125,0.052083333333333336
qwen3-1.7b-think,connected_nodes,0.2,components,100,0.96,-2.0000000000000018,0.94,0.0,0.01,False,0.0,0.0,False,0.6875,0.9821428571428571
qwen3-1.7b-think,connected_nodes,0.2,clustering,100,0.96,0.0,0.96,0.0,0.0,False,0.0,0.0,False,1.0,1.0
qwen3-1.7b-think,connected_nodes,0.2,rwse,100,0.96,-7.9999999999999964,0.88,0.0,0.0,False,0.0014285714285714286,0.0,False,0.03857421875,0.12858072916666666
qwen3-1.7b-think,connected_nodes,0.2,degree,100,0.96,-3.9999999999999925,0.92,0.0,0.03,False,0.0014285714285714286,0.0,False,0.21875,0.4375
qwen3-1.7b-think,connected_nodes,0.2,all,100,0.96,-2.0000000000000018,0.94,0.0,0.02,False,0.008095238095238096,0.0,False,0.6875,0.9821428571428571
