arm,task,density,d_degree,d_clustering,d_rwse,sum_parts,d_all,gap,ratio,max_part,ratio_max,max_share
qwen3-1.7b-think,node_count,0.5,0.09999999999999998,0.10999999999999999,0.10999999999999999,0.31999999999999995,0.10999999999999999,-0.20999999999999996,0.34375,0.10999999999999999,1.0,0.34375
qwen3-1.7b-think,cycle_check,0.1,-0.050000000000000044,-0.010000000000000009,0.0,-0.06000000000000005,-0.020000000000000018,0.040000000000000036,0.3333333333333333,-0.050000000000000044,0.4,0.8333333333333334
qwen3-1.7b-think,cycle_check,0.2,-0.17999999999999994,0.010000000000000009,0.010000000000000009,-0.15999999999999992,0.0,0.15999999999999992,-0.0,-0.17999999999999994,-0.0,1.1250000000000002
qwen3-1.7b-think,cycle_check,0.35,-0.17999999999999994,0.010000000000000009,0.030000000000000027,-0.1399999999999999,0.010000000000000009,0.1499999999999999,-0.07142857142857154,-0.17999999999999994,-0.05555555555555562,1.2857142857142863
qwen3-1.7b-think,cycle_check,0.5,-0.09999999999999998,0.0,0.010000000000000009,-0.08999999999999997,0.0,0.08999999999999997,-0.0,-0.09999999999999998,-0.0,1.1111111111111112
qwen3-1.7b-think,edge_existence,0.1,-0.030000000000000027,-0.020000000000000018,0.0,-0.050000000000000044,-0.040000000000000036,0.010000000000000009,0.8,-0.030000000000000027,1.3333333333333333,0.6
qwen3-1.7b-think,edge_existence,0.2,-0.050000000000000044,-0.020000000000000018,-0.050000000000000044,-0.1200000000000001,-0.040000000000000036,0.08000000000000007,0.3333333333333333,-0.050000000000000044,0.8,0.4166666666666667
qwen3-1.7b-think,edge_existence,0.35,0.0,0.020000000000000018,0.0,0.020000000000000018,0.0,-0.020000000000000018,0.0,0.020000000000000018,0.0,1.0
qwen3-1.7b-think,edge_existence,0.5,-0.010000000000000009,-0.020000000000000018,0.0,-0.030000000000000027,0.0,0.030000000000000027,-0.0,-0.020000000000000018,-0.0,0.6666666666666666
qwen3-1.7b-think,edge_existence,0.65,0.010000000000000009,0.0,0.010000000000000009,0.020000000000000018,-0.020000000000000018,-0.040000000000000036,-1.0,0.010000000000000009,,0.5
qwen3-1.7b-think,edge_existence,0.75,0.0,0.020000000000000018,0.010000000000000009,0.030000000000000027,0.010000000000000009,-0.020000000000000018,0.3333333333333333,0.020000000000000018,0.5,0.6666666666666666
qwen3-1.7b-think,edge_existence,0.85,-0.030000000000000027,-0.030000000000000027,-0.010000000000000009,-0.07000000000000006,-0.010000000000000009,0.06000000000000005,0.14285714285714285,-0.030000000000000027,0.3333333333333333,0.42857142857142855
qwen3-1.7b-think,node_degree,0.1,0.07999999999999996,0.039999999999999925,0.05999999999999994,0.17999999999999983,0.07999999999999996,-0.09999999999999987,0.44444444444444464,0.07999999999999996,1.0,0.44444444444444464
qwen3-1.7b-think,node_degree,0.2,-0.010000000000000009,0.020000000000000018,-0.039999999999999925,-0.029999999999999916,0.020000000000000018,0.04999999999999993,-0.6666666666666692,-0.039999999999999925,-0.5000000000000014,1.3333333333333346
