arm,density,condition,yes,bacc,truncated,tokens
qwen3-4b,0.65,degree,0.8282828282828283,0.7277183600713013,0.01,173.0
qwen3-4b,0.65,filler,0.83,0.660873440285205,0.0,170.5
qwen3-4b,0.65,none,0.73,0.8302139037433156,0.0,172.0
qwen3-4b,0.65,rwse,0.74,0.8600713012477719,0.0,182.0
qwen3-4b,0.75,all,0.8888888888888888,0.7017543859649122,0.01,186.0
qwen3-4b,0.75,clustering,0.76,0.9451754385964912,0.0,197.5
qwen3-4b,0.75,components,0.8181818181818182,0.7927631578947368,0.01,183.0
qwen3-4b,0.75,degree,0.87,0.743421052631579,0.0,188.0
qwen3-4b,0.75,filler,0.87,0.7160087719298246,0.0,179.0
qwen3-4b,0.75,none,0.81,0.7861842105263157,0.0,185.0
qwen3-4b,0.75,rwse,0.82,0.7927631578947368,0.0,195.0
qwen3-4b,0.85,all,0.93,0.6941176470588235,0.0,198.0
qwen3-4b,0.85,clustering,0.84,0.915686274509804,0.0,210.0
qwen3-4b,0.85,components,0.9,0.7941176470588236,0.0,198.0
qwen3-4b,0.85,degree,0.91,0.7607843137254902,0.0,198.5
qwen3-4b,0.85,filler,0.92,0.7274509803921569,0.0,194.5
qwen3-4b,0.85,none,0.87,0.8941176470588236,0.0,202.0
qwen3-4b,0.85,rwse,0.89,0.7490196078431373,0.0,206.0
qwen3-4b-think,0.1,all,0.10416666666666667,0.9777777777777779,0.04,561.5
qwen3-4b-think,0.1,clustering,0.10309278350515463,0.9833333333333334,0.03,588.0
qwen3-4b-think,0.1,components,0.10101010101010101,0.9944444444444445,0.01,692.0
qwen3-4b-think,0.1,degree,0.10101010101010101,0.9944444444444445,0.01,626.0
qwen3-4b-think,0.1,filler,0.10101010101010101,0.9944444444444445,0.01,535.0
qwen3-4b-think,0.1,none,0.10101010101010101,0.9944444444444445,0.01,575.0
qwen3-4b-think,0.1,rwse,0.10416666666666667,0.9777777777777779,0.04,604.0
qwen3-4b-think,0.2,all,0.18181818181818182,0.9939024390243902,0.01,622.0
qwen3-4b-think,0.2,clustering,0.18181818181818182,0.9939024390243902,0.01,661.0
qwen3-4b-think,0.2,components,0.18181818181818182,0.9939024390243902,0.01,752.0
qwen3-4b-think,0.2,degree,0.18,1.0,0.0,704.0
qwen3-4b-think,0.2,filler,0.18,1.0,0.0,669.5
qwen3-4b-think,0.2,none,0.18,1.0,0.0,706.5
qwen3-4b-think,0.2,rwse,0.17346938775510204,0.9661246612466124,0.02,738.0
