arm,task,density,condition,n,n_uncapped,hit_cap_rate,median_tokens,p90_tokens,median_node_mentions,uses_degree_sum,narrates_neighbors,enumerates_nodes,acc,parsed_rate
qwen3-1.7b,edge_existence,0.35,degree,100,100,0.0,271.5,341.5000000000001,10.0,0.01,0.0,0.01,0.67,1.0
qwen3-1.7b,edge_existence,0.35,clustering,100,100,0.0,275.0,379.40000000000003,10.0,0.0,0.0,0.03,0.72,1.0
qwen3-1.7b,edge_existence,0.35,rwse,100,100,0.0,305.5,408.90000000000015,12.0,0.0,0.0,0.08,0.76,1.0
qwen3-1.7b,edge_existence,0.35,components,100,100,0.0,207.0,341.0000000000001,8.0,0.0,0.0,0.0,0.5,1.0
qwen3-1.7b,edge_existence,0.35,all,100,100,0.0,363.0,448.20000000000005,14.0,0.0,0.0,0.08,0.78,1.0
qwen3-1.7b,edge_existence,0.5,none,100,100,0.0,206.5,272.1,6.0,0.0,0.0,0.0,0.54,1.0
qwen3-1.7b,edge_existence,0.5,filler,100,100,0.0,171.0,244.20000000000002,6.0,0.0,0.0,0.0,0.48,1.0
qwen3-1.7b,edge_existence,0.5,degree,100,100,0.0,293.5,404.3,10.0,0.01,0.0,0.0,0.78,1.0
qwen3-1.7b,edge_existence,0.5,clustering,100,100,0.0,268.5,349.0,10.0,0.0,0.0,0.01,0.67,1.0
qwen3-1.7b,edge_existence,0.5,rwse,100,100,0.0,287.5,385.70000000000033,12.0,0.0,0.0,0.05,0.67,1.0
qwen3-1.7b,edge_existence,0.5,components,100,100,0.0,220.5,274.0,6.0,0.0,0.0,0.02,0.51,1.0
qwen3-1.7b,edge_existence,0.5,all,100,100,0.0,352.5,521.3000000000001,14.0,0.0,0.0,0.1,0.8,1.0
qwen3-1.7b,edge_existence,0.65,none,100,100,0.0,50.5,287.3,4.0,0.0,0.0,0.01,0.68,1.0
qwen3-1.7b,edge_existence,0.65,filler,100,100,0.0,167.0,273.1,6.0,0.0,0.01,0.0,0.66,1.0
qwen3-1.7b,edge_existence,0.65,degree,100,100,0.0,265.0,366.6,8.0,0.02,0.0,0.0,0.71,1.0
qwen3-1.7b,edge_existence,0.65,clustering,100,100,0.0,259.0,324.0,8.0,0.0,0.0,0.0,0.67,1.0
