arm,task,density,condition,matched,delta_vs_filler,delta_vs_none
qwen3-1.7b-think,edge_existence,0.1,degree,0,0.0,-0.030612244897959218
qwen3-1.7b-think,edge_existence,0.1,clustering,1,0.010101010101010055,-0.020408163265306145
qwen3-1.7b-think,edge_existence,0.1,rwse,0,0.030000000000000027,0.0
qwen3-1.7b-think,edge_existence,0.1,components,0,0.02020202020202022,-0.010204081632653073
qwen3-1.7b-think,edge_existence,0.1,all,0,-0.010000000000000009,-0.04040404040404044
qwen3-1.7b-think,edge_existence,0.2,filler,0,0.0,-0.020000000000000018
qwen3-1.7b-think,edge_existence,0.2,degree,0,-0.030000000000000027,-0.050000000000000044
qwen3-1.7b-think,edge_existence,0.2,clustering,1,0.0,-0.020000000000000018
qwen3-1.7b-think,edge_existence,0.2,rwse,0,-0.030000000000000027,-0.050000000000000044
qwen3-1.7b-think,edge_existence,0.2,components,0,-0.010000000000000009,-0.030000000000000027
qwen3-1.7b-think,edge_existence,0.2,all,0,-0.020000000000000018,-0.040000000000000036
qwen3-1.7b-think,edge_existence,0.35,filler,0,0.0,0.030000000000000027
qwen3-1.7b-think,edge_existence,0.35,degree,0,-0.030000000000000027,0.0
qwen3-1.7b-think,edge_existence,0.35,clustering,1,-0.010000000000000009,0.020000000000000018
qwen3-1.7b-think,edge_existence,0.35,rwse,0,-0.030000000000000027,0.0
qwen3-1.7b-think,edge_existence,0.35,components,0,-0.020000000000000018,0.010000000000000009
qwen3-1.7b-think,edge_existence,0.35,all,0,-0.030000000000000027,0.0
qwen3-1.7b-think,edge_existence,0.5,filler,0,0.0,-0.010000000000000009
qwen3-1.7b-think,edge_existence,0.5,degree,0,0.0,-0.010101010101010055
qwen3-1.7b-think,edge_existence,0.5,clustering,1,-0.010000000000000009,-0.020000000000000018
qwen3-1.7b-think,edge_existence,0.5,rwse,0,0.010101010101010055,0.0
qwen3-1.7b-think,edge_existence,0.5,components,0,0.010000000000000009,0.0
qwen3-1.7b-think,edge_existence,0.5,all,0,0.010000000000000009,0.0
qwen3-1.7b-think,edge_existence,0.65,filler,0,0.0,0.0
qwen3-1.7b-think,edge_existence,0.65,degree,0,0.010000000000000009,0.010000000000000009
qwen3-1.7b-think,edge_existence,0.65,clustering,1,0.0,0.0
qwen3-1.7b-think,edge_existence,0.65,rwse,0,0.010000000000000009,0.010000000000000009
qwen3-1.7b-think,edge_existence,0.65,components,0,0.0,0.0
qwen3-1.7b-think,edge_existence,0.65,all,0,-0.020000000000000018,-0.020000000000000018
qwen3-1.7b-think,edge_existence,0.75,filler,0,0.0,0.010000000000000009
qwen3-1.7b-think,edge_existence,0.75,degree,0,-0.010000000000000009,0.0
qwen3-1.7b-think,edge_existence,0.75,clustering,1,0.010000000000000009,0.020000000000000018
qwen3-1.7b-think,edge_existence,0.75,rwse,0,0.0,0.010000000000000009
qwen3-1.7b-think,edge_existence,0.75,components,0,-0.010000000000000009,0.0
qwen3-1.7b-think,edge_existence,0.75,all,0,0.0,0.010000000000000009
qwen3-1.7b-think,edge_existence,0.85,filler,0,0.0,-0.030000000000000027
qwen3-1.7b-think,edge_existence,0.85,degree,0,0.0,-0.030000000000000027
qwen3-1.7b-think,edge_existence,0.85,clustering,1,0.0,-0.030000000000000027
qwen3-1.7b-think,edge_existence,0.85,rwse,0,0.020000000000000018,-0.010000000000000009
qwen3-1.7b-think,edge_existence,0.85,components,0,0.030000000000000027,0.0
qwen3-1.7b-think,edge_existence,0.85,all,0,0.020000000000000018,-0.010000000000000009
qwen3-1.7b-think,node_degree,0.1,filler,0,0.0,0.05208333333333326
qwen3-1.7b-think,node_degree,0.1,degree,1,0.0,0.05154639175257725
qwen3-1.7b-think,node_degree,0.1,clustering,0,-0.030612244897959107,0.02083333333333326
qwen3-1.7b-think,node_degree,0.1,rwse,0,-0.02020202020202022,0.030927835051546393
qwen3-1.7b-think,node_degree,0.1,components,0,-0.04081632653061218,0.021052631578947323
qwen3-1.7b-think,node_degree,0.1,all,0,0.0,0.05154639175257725
qwen3-1.7b-think,node_degree,0.2,filler,0,0.0,-0.09999999999999998
qwen3-1.7b-think,node_degree,0.2,degree,1,0.09183673469387754,-0.010204081632653073
qwen3-1.7b-think,node_degree,0.2,clustering,0,0.12,0.020000000000000018
qwen3-1.7b-think,node_degree,0.2,rwse,0,0.08163265306122447,-0.020408163265306145
qwen3-1.7b-think,node_degree,0.2,components,0,0.040000000000000036,-0.05999999999999994
qwen3-1.7b-think,node_degree,0.2,all,0,0.11111111111111116,0.010101010101010166
qwen3-1.7b-think,node_degree,0.35,filler,0,0.0,-0.039999999999999925
