arm,density,condition,n,acc,balanced_acc,recall_yes,recall_no,pred_yes_rate,gold_yes_rate,majority_baseline
qwen3-1.7b-think,0.75,none,100,0.98,0.986842105263158,0.9736842105263158,1.0,0.74,0.76,0.76
qwen3-1.7b-think,0.75,filler,100,0.99,0.993421052631579,0.9868421052631579,1.0,0.75,0.76,0.76
qwen3-1.7b-think,0.75,degree,100,0.98,0.9725877192982456,0.9868421052631579,0.9583333333333334,0.76,0.76,0.76
qwen3-1.7b-think,0.75,clustering,100,1.0,1.0,1.0,1.0,0.76,0.76,0.76
qwen3-1.7b-think,0.75,rwse,100,0.99,0.9791666666666667,1.0,0.9583333333333334,0.77,0.76,0.76
qwen3-1.7b-think,0.75,components,100,0.98,0.986842105263158,0.9736842105263158,1.0,0.74,0.76,0.76
qwen3-1.7b-think,0.75,all,100,0.99,0.993421052631579,0.9868421052631579,1.0,0.75,0.76,0.76
qwen3-1.7b-think,0.85,none,100,1.0,1.0,1.0,1.0,0.85,0.85,0.85
qwen3-1.7b-think,0.85,filler,100,0.97,0.9549019607843137,0.9764705882352941,0.9333333333333333,0.84,0.85,0.85
qwen3-1.7b-think,0.85,degree,100,0.97,0.9549019607843137,0.9764705882352941,0.9333333333333333,0.84,0.85,0.85
qwen3-1.7b-think,0.85,clustering,100,0.97,0.9823529411764707,0.9647058823529412,1.0,0.82,0.85,0.85
qwen3-1.7b-think,0.85,rwse,100,0.99,0.9666666666666667,1.0,0.9333333333333333,0.86,0.85,0.85
qwen3-1.7b-think,0.85,components,100,1.0,1.0,1.0,1.0,0.85,0.85,0.85
qwen3-1.7b-think,0.85,all,100,0.99,0.9941176470588236,0.9882352941176471,1.0,0.84,0.85,0.85
qwen3-4b,0.1,none,100,0.96,0.9777777777777779,1.0,0.9555555555555556,0.14,0.1,0.9
qwen3-4b,0.1,filler,100,0.96,0.9777777777777779,1.0,0.9555555555555556,0.14,0.1,0.9
qwen3-4b,0.1,degree,100,0.99,0.9944444444444445,1.0,0.9888888888888889,0.11,0.1,0.9
qwen3-4b,0.1,clustering,100,0.97,0.9833333333333334,1.0,0.9666666666666667,0.13,0.1,0.9
qwen3-4b,0.1,rwse,100,0.96,0.9777777777777779,1.0,0.9555555555555556,0.14,0.1,0.9
qwen3-4b,0.1,components,100,0.99,0.9944444444444445,1.0,0.9888888888888889,0.11,0.1,0.9
qwen3-4b,0.1,all,100,0.95,0.9722222222222222,1.0,0.9444444444444444,0.15,0.1,0.9
qwen3-4b,0.2,none,100,0.93,0.9356368563685638,0.9444444444444444,0.926829268292683,0.23,0.18,0.8200000000000001
qwen3-4b,0.2,filler,100,0.84,0.9024390243902439,1.0,0.8048780487804879,0.34,0.18,0.8200000000000001
qwen3-4b,0.2,degree,100,0.91,0.9451219512195121,1.0,0.8902439024390244,0.27,0.18,0.8200000000000001
qwen3-4b,0.2,clustering,100,0.98,0.9878048780487805,1.0,0.975609756097561,0.2,0.18,0.8200000000000001
qwen3-4b,0.2,rwse,100,0.89,0.9329268292682926,1.0,0.8658536585365854,0.29,0.18,0.8200000000000001
qwen3-4b,0.2,components,100,0.94,0.9634146341463414,1.0,0.926829268292683,0.24,0.18,0.8200000000000001
qwen3-4b,0.2,all,100,0.84,0.9024390243902439,1.0,0.8048780487804879,0.34,0.18,0.8200000000000001
qwen3-4b,0.35,none,100,0.83,0.8768115942028986,1.0,0.7536231884057971,0.48,0.31,0.69
qwen3-4b,0.35,filler,100,0.75,0.8188405797101449,1.0,0.6376811594202898,0.56,0.31,0.69
qwen3-4b,0.35,degree,100,0.79,0.8478260869565217,1.0,0.6956521739130435,0.52,0.31,0.69
qwen3-4b,0.35,clustering,100,0.89,0.9202898550724637,1.0,0.8405797101449275,0.42,0.31,0.69
qwen3-4b,0.35,rwse,100,0.7,0.7826086956521738,1.0,0.5652173913043478,0.61,0.31,0.69
qwen3-4b,0.35,components,100,0.75,0.8188405797101449,1.0,0.6376811594202898,0.56,0.31,0.69
qwen3-4b,0.35,all,100,0.7,0.7826086956521738,1.0,0.5652173913043478,0.61,0.31,0.69
qwen3-4b,0.5,none,100,0.9,0.9038461538461539,1.0,0.8076923076923077,0.58,0.48,0.52
qwen3-4b,0.5,filler,100,0.79,0.7980769230769231,1.0,0.5961538461538461,0.69,0.48,0.52
qwen3-4b,0.5,degree,100,0.74,0.75,1.0,0.5,0.74,0.48,0.52
qwen3-4b,0.5,clustering,100,0.94,0.9423076923076923,1.0,0.8846153846153846,0.54,0.48,0.52
qwen3-4b,0.5,rwse,100,0.67,0.6826923076923077,1.0,0.36538461538461536,0.81,0.48,0.52
qwen3-4b,0.5,components,100,0.83,0.8365384615384616,1.0,0.6730769230769231,0.65,0.48,0.52
qwen3-4b,0.5,all,100,0.73,0.7403846153846154,1.0,0.4807692307692308,0.75,0.48,0.52
qwen3-4b,0.65,none,100,0.87,0.8302139037433156,0.9545454545454546,0.7058823529411765,0.73,0.66,0.66
qwen3-4b,0.65,filler,100,0.75,0.660873440285205,0.9393939393939394,0.38235294117647056,0.83,0.66,0.66
qwen3-4b,0.65,degree,100,0.81,0.7277183600713013,0.9848484848484849,0.47058823529411764,0.83,0.66,0.66
qwen3-4b,0.65,clustering,100,0.95,0.9336007130124777,0.9848484848484849,0.8823529411764706,0.69,0.66,0.66
qwen3-4b,0.65,rwse,100,0.9,0.8600713012477719,0.9848484848484849,0.7352941176470589,0.74,0.66,0.66
qwen3-4b,0.65,components,100,0.79,0.7054367201426025,0.9696969696969697,0.4411764705882353,0.83,0.66,0.66
qwen3-4b,0.65,all,100,0.88,0.8235294117647058,1.0,0.6470588235294118,0.78,0.66,0.66
qwen3-4b,0.75,none,100,0.87,0.7861842105263157,0.9473684210526315,0.625,0.81,0.76,0.76
qwen3-4b,0.75,filler,100,0.85,0.7160087719298246,0.9736842105263158,0.4583333333333333,0.87,0.76,0.76
qwen3-4b,0.75,degree,100,0.87,0.743421052631579,0.9868421052631579,0.5,0.87,0.76,0.76
qwen3-4b,0.75,clustering,100,0.96,0.9451754385964912,0.9736842105263158,0.9166666666666666,0.76,0.76,0.76
qwen3-4b,0.75,rwse,100,0.88,0.7927631578947368,0.9605263157894737,0.625,0.82,0.76,0.76
qwen3-4b,0.75,components,100,0.88,0.7927631578947368,0.9605263157894737,0.625,0.82,0.76,0.76
qwen3-4b,0.75,all,100,0.85,0.7017543859649122,0.9868421052631579,0.4166666666666667,0.89,0.76,0.76
qwen3-4b,0.85,none,100,0.96,0.8941176470588236,0.9882352941176471,0.8,0.87,0.85,0.85
qwen3-4b,0.85,filler,100,0.91,0.7274509803921569,0.9882352941176471,0.4666666666666667,0.92,0.85,0.85
qwen3-4b,0.85,degree,100,0.92,0.7607843137254902,0.9882352941176471,0.5333333333333333,0.91,0.85,0.85
qwen3-4b,0.85,clustering,100,0.95,0.915686274509804,0.9647058823529412,0.8666666666666667,0.84,0.85,0.85
qwen3-4b,0.85,rwse,100,0.9,0.7490196078431373,0.9647058823529412,0.5333333333333333,0.89,0.85,0.85
qwen3-4b,0.85,components,100,0.93,0.7941176470588236,0.9882352941176471,0.6,0.9,0.85,0.85
qwen3-4b,0.85,all,100,0.9,0.6941176470588235,0.9882352941176471,0.4,0.93,0.85,0.85
qwen3-4b-think,0.1,none,100,1.0,1.0,1.0,1.0,0.1,0.1,0.9
qwen3-4b-think,0.1,filler,100,1.0,1.0,1.0,1.0,0.1,0.1,0.9
qwen3-4b-think,0.1,degree,100,1.0,1.0,1.0,1.0,0.1,0.1,0.9
qwen3-4b-think,0.1,clustering,100,1.0,1.0,1.0,1.0,0.1,0.1,0.9
qwen3-4b-think,0.1,rwse,100,1.0,1.0,1.0,1.0,0.1,0.1,0.9
qwen3-4b-think,0.1,components,100,1.0,1.0,1.0,1.0,0.1,0.1,0.9
qwen3-4b-think,0.1,all,100,1.0,1.0,1.0,1.0,0.1,0.1,0.9
qwen3-4b-think,0.2,none,100,1.0,1.0,1.0,1.0,0.18,0.18,0.8200000000000001
qwen3-4b-think,0.2,filler,100,1.0,1.0,1.0,1.0,0.18,0.18,0.8200000000000001
qwen3-4b-think,0.2,degree,100,1.0,1.0,1.0,1.0,0.18,0.18,0.8200000000000001
qwen3-4b-think,0.2,clustering,100,1.0,1.0,1.0,1.0,0.18,0.18,0.8200000000000001
qwen3-4b-think,0.2,rwse,100,0.99,0.9722222222222222,0.9444444444444444,1.0,0.17,0.18,0.8200000000000001
qwen3-4b-think,0.2,components,100,1.0,1.0,1.0,1.0,0.18,0.18,0.8200000000000001
qwen3-4b-think,0.2,all,100,1.0,1.0,1.0,1.0,0.18,0.18,0.8200000000000001
qwen3-4b-think,0.35,none,100,1.0,1.0,1.0,1.0,0.31,0.31,0.69
qwen3-4b-think,0.35,filler,100,1.0,1.0,1.0,1.0,0.31,0.31,0.69
qwen3-4b-think,0.35,degree,100,1.0,1.0,1.0,1.0,0.31,0.31,0.69
qwen3-4b-think,0.35,clustering,100,1.0,1.0,1.0,1.0,0.31,0.31,0.69
qwen3-4b-think,0.35,rwse,100,1.0,1.0,1.0,1.0,0.31,0.31,0.69
qwen3-4b-think,0.35,components,100,1.0,1.0,1.0,1.0,0.31,0.31,0.69
qwen3-4b-think,0.35,all,100,1.0,1.0,1.0,1.0,0.31,0.31,0.69
qwen3-4b-think,0.5,none,100,1.0,1.0,1.0,1.0,0.48,0.48,0.52
qwen3-4b-think,0.5,filler,100,1.0,1.0,1.0,1.0,0.48,0.48,0.52
qwen3-4b-think,0.5,degree,100,1.0,1.0,1.0,1.0,0.48,0.48,0.52
qwen3-4b-think,0.5,clustering,100,1.0,1.0,1.0,1.0,0.48,0.48,0.52
qwen3-4b-think,0.5,rwse,100,1.0,1.0,1.0,1.0,0.48,0.48,0.52
qwen3-4b-think,0.5,components,100,1.0,1.0,1.0,1.0,0.48,0.48,0.52
qwen3-4b-think,0.5,all,100,1.0,1.0,1.0,1.0,0.48,0.48,0.52
qwen3-4b-think,0.65,none,100,1.0,1.0,1.0,1.0,0.66,0.66,0.66
qwen3-4b-think,0.65,filler,100,1.0,1.0,1.0,1.0,0.66,0.66,0.66
qwen3-4b-think,0.65,degree,100,1.0,1.0,1.0,1.0,0.66,0.66,0.66
qwen3-4b-think,0.65,clustering,100,1.0,1.0,1.0,1.0,0.66,0.66,0.66
qwen3-4b-think,0.65,rwse,100,1.0,1.0,1.0,1.0,0.66,0.66,0.66
qwen3-4b-think,0.65,components,100,1.0,1.0,1.0,1.0,0.66,0.66,0.66
qwen3-4b-think,0.65,all,100,1.0,1.0,1.0,1.0,0.66,0.66,0.66
qwen3-4b-think,0.75,none,100,1.0,1.0,1.0,1.0,0.76,0.76,0.76
qwen3-4b-think,0.75,filler,100,1.0,1.0,1.0,1.0,0.76,0.76,0.76
qwen3-4b-think,0.75,degree,100,1.0,1.0,1.0,1.0,0.76,0.76,0.76
qwen3-4b-think,0.75,clustering,100,1.0,1.0,1.0,1.0,0.76,0.76,0.76
qwen3-4b-think,0.75,rwse,100,1.0,1.0,1.0,1.0,0.76,0.76,0.76
qwen3-4b-think,0.75,components,100,1.0,1.0,1.0,1.0,0.76,0.76,0.76
qwen3-4b-think,0.75,all,100,1.0,1.0,1.0,1.0,0.76,0.76,0.76
qwen3-4b-think,0.85,none,100,0.98,0.9882352941176471,0.9764705882352941,1.0,0.83,0.85,0.85
qwen3-4b-think,0.85,filler,100,1.0,1.0,1.0,1.0,0.85,0.85,0.85
qwen3-4b-think,0.85,degree,100,1.0,1.0,1.0,1.0,0.85,0.85,0.85
qwen3-4b-think,0.85,clustering,100,1.0,1.0,1.0,1.0,0.85,0.85,0.85
qwen3-4b-think,0.85,rwse,100,0.99,0.9941176470588236,0.9882352941176471,1.0,0.84,0.85,0.85
qwen3-4b-think,0.85,components,100,1.0,1.0,1.0,1.0,0.85,0.85,0.85
qwen3-4b-think,0.85,all,100,0.99,0.9666666666666667,1.0,0.9333333333333333,0.86,0.85,0.85
