arm,task,density,condition,n,baseline,delta,acc,bar,bar_none,carries,p,q
qwen3-1.7b,edge_existence,0.85,components,100,0.86,-1.0000000000000009,0.85,0.7352380952380952,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.85,clustering,100,0.86,0.0,0.86,0.7266666666666667,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.85,rwse,100,0.86,1.0000000000000009,0.87,0.5538095238095239,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.85,degree,100,0.86,2.0000000000000018,0.88,0.7457142857142857,0.7352380952380952,False,0.625,0.9114583333333334
qwen3-1.7b,edge_existence,0.85,all,100,0.86,3.0000000000000027,0.89,0.7409523809523809,0.7352380952380952,False,0.453125,0.7552083333333334
qwen3-1.7b,node_degree,0.1,components,100,0.91,1.0000000000000009,0.92,0.1442857142857143,0.1442857142857143,False,1.0,1.0
qwen3-1.7b,node_degree,0.1,clustering,100,0.91,2.0000000000000018,0.93,0.1442857142857143,0.1442857142857143,False,0.75390625,1.0
qwen3-1.7b,node_degree,0.1,rwse,100,0.91,2.9999999999999916,0.94,0.21047619047619048,0.1442857142857143,False,0.5078125,0.9874131944444444
qwen3-1.7b,node_degree,0.1,degree,100,0.91,2.9999999999999916,0.94,1.0,0.1442857142857143,True,0.453125,0.9874131944444444
qwen3-1.7b,node_degree,0.1,all,100,0.91,5.999999999999995,0.97,1.0,0.1442857142857143,True,0.14599609375,0.63873291015625
qwen3-1.7b,node_degree,0.2,components,100,0.8,1.9999999999999907,0.82,0.1442857142857143,0.1442857142857143,False,0.7744140625,1.0
qwen3-1.7b,node_degree,0.2,clustering,100,0.8,1.9999999999999907,0.82,0.1442857142857143,0.1442857142857143,False,0.8318119049072266,1.0
qwen3-1.7b,node_degree,0.2,rwse,100,0.8,3.9999999999999925,0.84,0.21047619047619048,0.1442857142857143,False,0.480682373046875,0.9874131944444444
qwen3-1.7b,node_degree,0.2,degree,100,0.8,9.999999999999998,0.9,1.0,0.1442857142857143,True,0.012939453125,0.12003411926343688
qwen3-1.7b,node_degree,0.2,all,100,0.8,9.999999999999998,0.9,1.0,0.1442857142857143,True,0.052478790283203125,0.3673515319824219
qwen3-1.7b,node_degree,0.35,components,100,0.41,3.0000000000000027,0.44,0.1442857142857143,0.1442857142857143,False,0.6776394844055176,1.0
qwen3-1.7b,node_degree,0.35,clustering,100,0.41,6.0,0.47,0.1442857142857143,0.1442857142857143,False,0.40503224614076316,0.9450752409951141
qwen3-1.7b,node_degree,0.35,rwse,99,0.41414141414141414,6.0606060606060606,0.47474747474747475,0.21047619047619048,0.1442857142857143,False,0.39152830513194203,0.9450752409951141
qwen3-1.7b,node_degree,0.35,degree,100,0.41,18.0,0.59,1.0,0.1442857142857143,True,0.00393317302223295,0.12003411926343688
qwen3-1.7b,node_degree,0.35,all,100,0.41,17.0,0.58,1.0,0.1442857142857143,True,0.0137181850586785,0.12003411926343688
qwen3-1.7b,node_degree,0.5,components,100,0.3,1.0000000000000009,0.31,0.1442857142857143,0.1442857142857143,False,1.0,1.0
qwen3-1.7b,node_degree,0.5,clustering,100,0.3,2.0000000000000018,0.32,0.1442857142857143,0.1442857142857143,False,0.8450189828872681,1.0
qwen3-1.7b,node_degree,0.5,rwse,100,0.3,3.0000000000000027,0.33,0.21047619047619048,0.1442857142857143,False,0.711071103811264,1.0
qwen3-1.7b,node_degree,0.5,degree,100,0.3,-1.0000000000000009,0.29,1.0,0.1442857142857143,True,1.0,1.0
qwen3-1.7b,node_degree,0.5,all,100,0.3,8.000000000000002,0.38,1.0,0.1442857142857143,True,0.2429849540349096,0.7731339446565305
qwen3-1.7b,node_degree,0.65,components,99,0.08080808080808081,6.06060606060606,0.1414141414141414,0.1442857142857143,0.1442857142857143,False,0.14599609375,0.63873291015625
qwen3-1.7b,node_degree,0.65,clustering,99,0.08080808080808081,-1.010101010101011,0.0707070707070707,0.1442857142857143,0.1442857142857143,False,1.0,1.0
qwen3-1.7b,node_degree,0.65,rwse,99,0.08080808080808081,-1.010101010101011,0.0707070707070707,0.21047619047619048,0.1442857142857143,False,1.0,1.0
qwen3-1.7b,node_degree,0.65,degree,99,0.08080808080808081,0.0,0.08080808080808081,1.0,0.1442857142857143,True,1.0,1.0
qwen3-1.7b,node_degree,0.65,all,99,0.08080808080808081,7.07070707070707,0.15151515151515152,1.0,0.1442857142857143,True,0.143463134765625,0.63873291015625
qwen3-1.7b,node_degree,0.75,components,100,0.16,-4.000000000000001,0.12,0.1442857142857143,0.1442857142857143,False,0.3876953125,0.9450752409951141
qwen3-1.7b,node_degree,0.75,clustering,100,0.16,-5.0,0.11,0.1442857142857143,0.1442857142857143,False,0.38331031799316406,0.9450752409951141
qwen3-1.7b,node_degree,0.75,rwse,100,0.16,-11.0,0.05,0.21047619047619048,0.1442857142857143,False,0.012725830078125,0.12003411926343688
qwen3-1.7b,node_degree,0.75,degree,100,0.16,-1.0000000000000009,0.15,1.0,0.1442857142857143,True,1.0,1.0
qwen3-1.7b,node_degree,0.75,all,100,0.16,1.0000000000000009,0.17,1.0,0.1442857142857143,True,1.0,1.0
qwen3-1.7b,node_degree,0.85,components,100,0.05,-1.0000000000000002,0.04,0.1442857142857143,0.1442857142857143,False,1.0,1.0
qwen3-1.7b,node_degree,0.85,clustering,100,0.05,-4.0,0.01,0.1442857142857143,0.1442857142857143,False,0.21875,0.765625
qwen3-1.7b,node_degree,0.85,rwse,100,0.05,-4.0,0.01,0.21047619047619048,0.1442857142857143,False,0.21875,0.765625
qwen3-1.7b,node_degree,0.85,degree,100,0.05,2.0000000000000004,0.07,1.0,0.1442857142857143,True,0.7744140625,1.0
qwen3-1.7b,node_degree,0.85,all,100,0.05,0.0,0.05,1.0,0.1442857142857143,True,1.0,1.0
qwen3-1.7b-think,connected_nodes,0.1,components,95,0.9578947368421052,2.1052631578947434,0.9789473684210527,0.0,0.0,False,0.625,1.0
qwen3-1.7b-think,connected_nodes,0.1,clustering,96,0.9479166666666666,1.041666666666674,0.9583333333333334,0.0,0.0,False,1.0,1.0
qwen3-1.7b-think,connected_nodes,0.1,rwse,97,0.9484536082474226,4.123711340206193,0.9896907216494846,0.0014285714285714286,0.0,False,0.125,0.3125
qwen3-1.7b-think,connected_nodes,0.1,degree,96,0.9479166666666666,0.0,0.9479166666666666,0.0014285714285714286,0.0,False,1.0,1.0
qwen3-1.7b-think,connected_nodes,0.1,all,97,0.9484536082474226,5.154639175257736,1.0,0.008095238095238096,0.0,False,0.0625,0.25
qwen3-1.7b-think,connected_nodes,0.2,components,99,0.9595959595959596,-1.0101010101010055,0.9494949494949495,0.0,0.0,False,1.0,1.0
qwen3-1.7b-think,connected_nodes,0.2,clustering,100,0.96,0.0,0.96,0.0,0.0,False,1.0,1.0
qwen3-1.7b-think,connected_nodes,0.2,rwse,100,0.96,-7.9999999999999964,0.88,0.0014285714285714286,0.0,False,0.03857421875,0.245208740234375
qwen3-1.7b-think,connected_nodes,0.2,degree,97,0.9587628865979382,-1.0309278350515538,0.9484536082474226,0.0014285714285714286,0.0,False,1.0,1.0
qwen3-1.7b-think,connected_nodes,0.2,all,98,0.9591836734693877,0.0,0.9591836734693877,0.008095238095238096,0.0,False,1.0,1.0
qwen3-1.7b-think,connected_nodes,0.35,components,98,0.6938775510204082,2.0408163265306145,0.7142857142857143,0.0,0.0,False,0.79052734375,1.0
qwen3-1.7b-think,connected_nodes,0.35,clustering,98,0.6938775510204082,-3.0612244897959218,0.6632653061224489,0.0,0.0,False,0.6900379657745361,1.0
qwen3-1.7b-think,connected_nodes,0.35,rwse,98,0.6938775510204082,3.0612244897959218,0.7244897959183674,0.0014285714285714286,0.0,False,0.6776394844055176,1.0
qwen3-1.7b-think,connected_nodes,0.35,degree,98,0.6938775510204082,13.265306122448983,0.826530612244898,0.0014285714285714286,0.0,False,0.007197380065917969,0.07197380065917969
qwen3-1.7b-think,connected_nodes,0.35,all,98,0.6938775510204082,9.183673469387754,0.7857142857142857,0.008095238095238096,0.0,False,0.049041748046875,0.245208740234375
qwen3-1.7b-think,connected_nodes,0.5,components,100,0.59,8.000000000000007,0.67,0.0,0.0,False,0.11531829833984375,0.3125
qwen3-1.7b-think,connected_nodes,0.5,clustering,100,0.59,8.000000000000007,0.67,0.0,0.0,False,0.1849333420395851,0.41096298231018913
