arm,task,condition,n,acc_0_9,n_0_9,acc_10_19,n_10_19,acc_20_29,n_20_29,acc_30_39,n_30_39,rho_position,p_position,first10_minus_last10,slope_pts,slope_lo,slope_hi,slope_vs_none,svn_lo,svn_hi
qwen3-4b,connected_nodes,clustering,400,0.8448275862068966,116,0.82,100,0.9318181818181818,88,0.8958333333333334,96,0.07635048448953428,0.12739463337733598,-0.051005747126436796,8.606478296727728,-1.7448513609315097,19.38307072126837,-16.413872947303986,-31.124106479748047,-1.4409167855387777
qwen3-4b,connected_nodes,rwse,400,0.8275862068965517,116,0.81,100,0.9204545454545454,88,0.8958333333333334,96,0.10758199304699434,0.031464121661807544,-0.06824712643678166,12.373983974497717,2.4146017666941426,23.458286765023686,-12.646367269533997,-26.992348838815175,2.20129661208396
qwen3-4b,connected_nodes,components,400,0.8879310344827587,116,0.96,100,0.9886363636363636,88,0.9895833333333334,96,0.18919425910927137,0.00014096096418680405,-0.1016522988505747,12.9621790236,5.412550878348552,20.725211581940712,-12.058172220431715,-25.531119140088048,0.6824623252120114
qwen3-4b,connected_nodes,all,400,0.7672413793103449,116,0.84,100,0.9204545454545454,88,0.8229166666666666,96,0.06673115436092075,0.18288272875212375,-0.05567528735632177,7.8647202164955825,-3.943284440269714,19.670787010651733,-17.15563102753613,-33.51257853768539,0.08573211848049175
qwen3-4b-think,node_degree,none,688,1.0,192,0.9822485207100592,169,0.9941860465116279,172,0.9741935483870968,155,-0.05954884709937721,0.11864262001945286,0.02580645161290318,-2.125820377157679,-5.030097853133865,0.4403404069237486,0.0,-3.8324527434042635,3.9463749398726558
qwen3-4b-think,node_degree,filler,696,0.9948186528497409,193,0.9767441860465116,172,0.9884393063583815,173,0.9936708860759493,158,0.010502950721655455,0.782089993754977,0.0011477667737915809,0.41314194439654633,-1.6665153201634455,2.6542177727508274,2.538962321554225,-0.7740743039706943,5.891176030599956
qwen3-4b-think,node_degree,degree,697,1.0,193,0.9941860465116279,172,0.9653179190751445,173,0.9874213836477987,159,-0.07370243397888382,0.051780587788096306,0.012578616352201255,-2.782040349722734,-5.288680523830569,-0.6950360975269125,-0.6562199725650553,-4.356421140880317,2.594061763038946
qwen3-4b-think,node_degree,clustering,696,0.9948186528497409,193,0.9767441860465116,172,0.9767441860465116,172,0.9874213836477987,159,-0.022340958417693325,0.5562578060568577,0.007397269201942169,-0.8894286380079122,-3.6711636011053366,1.5732517386250628,1.2363917391497665,-2.5017199472830356,4.943990115618906
qwen3-4b-think,node_degree,rwse,688,0.9947916666666666,192,0.9767441860465116,172,0.9823529411764705,170,0.9545454545454546,154,-0.0843199681051132,0.02699362045964627,0.040246212121212044,-4.165796761096201,-8.281472366993807,-0.7593009311532996,-2.0399763839385217,-6.959648990979611,2.379836397540878
qwen3-4b-think,node_degree,components,689,0.9896373056994818,193,0.9704142011834319,169,0.9883040935672515,171,0.967948717948718,156,-0.037484293344722495,0.32586499120202633,0.021688587750763877,-1.7575897916887941,-5.16428908661892,1.678901806952258,0.36823058546888476,-3.905299301188131,4.947388289980094
qwen3-4b-think,node_degree,all,690,1.0,191,0.9883040935672515,171,0.9825581395348837,172,0.9871794871794872,156,-0.04503270279973484,0.23745698189027473,0.012820512820512775,-1.4881160215210643,-3.6319334816403206,0.3482801674398196,0.6377043556366147,-2.9045321107288498,4.092047076019909
qwen3-4b-think,connected_nodes,none,387,0.9912280701754386,114,0.99,100,1.0,85,0.9659090909090909,88,-0.08021723812206254,0.11514247091400874,0.02531897926634763,-3.1256095484010524,-8.257733378337193,1.1350489837777402,0.0,-6.755060553639369,6.853666166359297
qwen3-4b-think,connected_nodes,filler,389,0.991304347826087,115,0.98989898989899,99,1.0,84,1.0,91,0.04146833585544148,0.41472765918692345,-0.008695652173912993,1.0483272498311702,-0.04634355602666384,3.341500767088545,4.173936798232223,-0.6272141986127042,9.9404286183471
qwen3-4b-think,connected_nodes,degree,388,1.0,115,0.99,100,0.9878048780487805,82,0.978021978021978,91,-0.07076205824035697,0.164195694704627,0.02197802197802201,-2.363712489099408,-6.360338152415185,0.367882614844323,0.7618970593016448,-5.030656093635709,7.28923517274855
qwen3-4b-think,connected_nodes,clustering,382,1.0,116,0.98989898989899,99,1.0,80,0.9770114942528736,87,-0.09187914738471212,0.07286553491564134,0.02298850574712641,-2.718575647473578,-7.2922256494087705,-0.06949433236544181,0.40703390092747505,-5.875574017689285,6.225886869989102
qwen3-4b-think,connected_nodes,rwse,388,1.0,116,1.0,98,0.9759036144578314,83,0.978021978021978,91,-0.0961725336333502,0.05840359095384816,0.02197802197802201,-3.1498096390520245,-6.978324090723403,-0.40497508487884726,-0.024200090650971617,-6.05677478799961,6.016551637827401
qwen3-4b-think,connected_nodes,components,386,1.0,114,1.0,100,0.9882352941176471,85,0.9885057471264368,87,-0.07289216132309953,0.15290044903408176,0.011494252873563204,-1.7325069556183788,-5.14482346724972,-0.30754178712057256,1.3931025927826741,-4.194334202137978,6.660085034771219
qwen3-4b-think,connected_nodes,all,383,1.0,115,1.0,100,0.9759036144578314,83,0.9529411764705882,85,-0.13355491682278106,0.00887294071519246,0.04705882352941182,-5.629520205207517,-11.233201129532539,-1.3762095306025002,-2.503910656806464,-10.13258800820145,4.230470950823109
