arm,task,density,condition,n,n_wrong,median_abs_error,median_signed_error,frac_undercount,median_rel_error
qwen3-4b,node_degree,0.75,rwse,100,37,1.0,1.0,0.24324324324324326,0.04
qwen3-4b,node_degree,0.75,components,100,54,1.0,1.0,0.1111111111111111,0.039230769230769236
qwen3-4b,node_degree,0.75,all,100,69,4.0,4.0,0.10144927536231885,0.12903225806451613
qwen3-4b,node_degree,0.85,none,100,67,3.0,3.0,0.07462686567164178,0.08571428571428572
qwen3-4b,node_degree,0.85,filler,100,64,3.0,3.0,0.046875,0.09375
qwen3-4b,node_degree,0.85,degree,100,40,3.5,3.5,0.025,0.10427807486631016
qwen3-4b,node_degree,0.85,clustering,100,49,3.0,3.0,0.10204081632653061,0.08823529411764706
qwen3-4b,node_degree,0.85,rwse,100,57,3.0,3.0,0.12280701754385964,0.08823529411764706
qwen3-4b,node_degree,0.85,components,100,58,4.0,4.0,0.05172413793103448,0.11428571428571428
qwen3-4b,node_degree,0.85,all,100,75,4.0,4.0,0.02666666666666667,0.11764705882352941
qwen3-4b-think,edge_count,0.1,none,100,35,68.0,-66.0,0.8571428571428571,0.9066666666666666
qwen3-4b-think,edge_count,0.1,filler,100,23,74.0,-70.0,0.9130434782608695,0.9375
qwen3-4b-think,edge_count,0.1,degree,100,53,38.0,-6.0,0.8113207547169812,0.5
qwen3-4b-think,edge_count,0.1,clustering,100,17,68.0,-66.0,0.8235294117647058,0.8823529411764706
qwen3-4b-think,edge_count,0.1,rwse,100,20,76.0,-1.0,0.55,0.9808503732554366
qwen3-4b-think,edge_count,0.1,components,100,12,54.5,-54.5,1.0,0.6405882352941177
qwen3-4b-think,edge_count,0.1,all,100,55,34.0,-2.0,0.7454545454545455,0.43209876543209874
qwen3-4b-think,edge_count,0.2,none,100,55,146.0,-145.0,0.8727272727272727,0.9575757575757575
qwen3-4b-think,edge_count,0.2,filler,100,43,144.0,-135.0,0.7441860465116279,0.9536423841059603
qwen3-4b-think,edge_count,0.2,degree,100,50,112.0,-4.0,0.7,0.8046382769560749
qwen3-4b-think,edge_count,0.2,clustering,100,36,142.0,-141.0,0.9166666666666666,0.9517453135100193
qwen3-4b-think,edge_count,0.2,rwse,100,34,146.0,-70.5,0.7352941176470589,0.9458841811782988
qwen3-4b-think,edge_count,0.2,components,100,25,136.0,-126.0,0.84,0.9204545454545454
qwen3-4b-think,edge_count,0.2,all,100,66,123.0,-118.0,0.6818181818181818,0.7849911971830985
qwen3-4b-think,edge_count,0.35,none,100,75,260.0,-260.0,0.9466666666666667,0.9563636363636364
qwen3-4b-think,edge_count,0.35,filler,100,60,258.0,-256.5,0.9166666666666666,0.9485946047915488
qwen3-4b-think,edge_count,0.35,degree,100,65,246.0,-237.0,0.7846153846153846,0.9360902255639098
qwen3-4b-think,edge_count,0.35,clustering,100,43,253.0,-251.0,0.813953488372093,0.9537366548042705
qwen3-4b-think,edge_count,0.35,rwse,100,64,254.0,-249.0,0.78125,0.9406207827260459
qwen3-4b-think,edge_count,0.35,components,100,45,251.0,-251.0,0.8444444444444444,0.943609022556391
qwen3-4b-think,edge_count,0.35,all,100,83,244.0,-235.0,0.8072289156626506,0.9288135593220339
qwen3-4b-think,edge_count,0.5,none,100,96,375.0,-375.0,0.9583333333333334,0.9562539086929331
qwen3-4b-think,edge_count,0.5,filler,100,96,369.0,-369.0,0.9583333333333334,0.9536694835022266
qwen3-4b-think,edge_count,0.5,degree,100,68,335.0,-331.5,0.7352941176470589,0.8672685600010388
qwen3-4b-think,edge_count,0.5,clustering,100,93,375.0,-371.0,0.9247311827956989,0.9607329842931938
qwen3-4b-think,edge_count,0.5,rwse,100,99,376.0,-375.0,0.9292929292929293,0.9625668449197861
qwen3-4b-think,edge_count,0.5,components,100,79,370.0,-369.0,0.8987341772151899,0.9518987341772152
qwen3-4b-think,edge_count,0.5,all,100,84,336.0,-95.5,0.7142857142857143,0.919986380660538
qwen3-4b-think,node_degree,0.1,none,100,3,16.0,16.0,0.3333333333333333,8.0
qwen3-4b-think,node_degree,0.1,filler,100,3,30.0,30.0,0.0,8.25
qwen3-4b-think,node_degree,0.1,degree,100,1,22.0,22.0,0.0,7.333333333333333
qwen3-4b-think,node_degree,0.1,clustering,100,3,22.0,22.0,0.0,6.6
qwen3-4b-think,node_degree,0.1,rwse,100,7,30.0,30.0,0.0,8.5
qwen3-4b-think,node_degree,0.1,components,100,6,30.5,30.5,0.0,7.75
qwen3-4b-think,node_degree,0.1,all,100,5,32.0,32.0,0.0,8.25
qwen3-4b-think,node_degree,0.2,none,100,5,23.0,23.0,0.4,3.5
qwen3-4b-think,node_degree,0.2,filler,100,0,,,,
qwen3-4b-think,node_degree,0.2,degree,100,1,1.0,-1.0,1.0,0.14285714285714285
qwen3-4b-think,node_degree,0.2,clustering,100,1,1.0,-1.0,1.0,0.125
qwen3-4b-think,node_degree,0.2,rwse,100,4,11.5,10.5,0.5,2.2555555555555555
qwen3-4b-think,node_degree,0.2,components,100,2,15.0,15.0,0.0,2.1428571428571432
qwen3-4b-think,node_degree,0.2,all,100,2,16.0,15.0,0.5,2.2767857142857144
qwen3-4b-think,node_degree,0.35,none,100,3,8.0,-8.0,0.6666666666666666,0.5333333333333333
qwen3-4b-think,node_degree,0.35,filler,100,0,,,,
qwen3-4b-think,node_degree,0.35,degree,100,0,,,,
qwen3-4b-think,node_degree,0.35,clustering,100,0,,,,
qwen3-4b-think,node_degree,0.35,rwse,100,0,,,,
qwen3-4b-think,node_degree,0.35,components,100,2,18.0,18.0,0.0,1.5454545454545454
qwen3-4b-think,node_degree,0.35,all,100,2,2.0,-1.0,0.5,0.1466346153846154
qwen3-4b-think,node_degree,0.5,none,100,0,,,,
qwen3-4b-think,node_degree,0.5,filler,100,1,19.0,19.0,0.0,1.0
