arm,task,cond,n_pairs,n_all,d_drop,p_drop,d_zero,p_zero,q_drop,q_zero,sig_drop,sig_zero,bh_flip,delta_shift
qwen3-4b,edge_count,degree,393,400,27.735368956743002,5.743453631889443e-28,27.249999999999996,5.743453631889443e-28,3.446072179133666e-27,3.446072179133666e-27,True,True,False,0.48536895674300595
qwen3-4b,edge_count,filler,400,400,1.25,0.3017578125,1.25,0.3017578125,0.3017578125,0.3017578125,False,False,False,0.0
qwen3-4b,edge_count,all,397,400,3.7783375314861463,0.005924612283706665,3.7500000000000004,0.005924612283706665,0.017773836851119995,0.017773836851119995,True,True,False,0.028337531486145817
qwen3-1.7b-think,node_count,components,342,400,0.8771929824561431,0.375,1.5000000000000013,0.5189580031896518,0.45,0.5189580031896518,False,False,False,0.6228070175438583
qwen3-1.7b-think,node_count,clustering,369,400,1.3550135501354976,0.0625,8.999999999999996,2.9103830456733704e-11,0.09375,4.3655745685100555e-11,False,True,True,7.644986449864499
qwen3-1.7b-think,node_count,rwse,369,400,1.3550135501354976,0.0625,8.999999999999996,2.9103830456733704e-11,0.09375,4.3655745685100555e-11,False,True,True,7.644986449864499
qwen3-1.7b-think,node_count,degree,360,400,0.8333333333333304,0.453125,5.499999999999994,0.0012600338162656044,0.453125,0.0015120405795187252,False,True,True,4.666666666666663
qwen3-1.7b-think,node_count,filler,369,400,1.3550135501354976,0.0625,8.999999999999996,2.9103830456733704e-11,0.09375,4.3655745685100555e-11,False,True,True,7.644986449864499
qwen3-1.7b-think,node_count,all,369,400,1.3550135501354976,0.0625,8.999999999999996,2.9103830456733704e-11,0.09375,4.3655745685100555e-11,False,True,True,7.644986449864499
qwen3-1.7b-think,cycle_check,components,346,400,0.0,1.0,-7.499999999999996,5.2094472007935266e-05,1.0,0.0001562834160238058,False,True,True,7.499999999999996
qwen3-1.7b-think,cycle_check,clustering,376,400,0.0,1.0,-0.5000000000000004,0.8318119049072266,1.0,0.8318119049072266,False,False,False,0.5000000000000004
qwen3-1.7b-think,cycle_check,rwse,386,400,0.0,1.0,2.2500000000000075,0.0224609375,1.0,0.03369140625,False,True,True,2.2500000000000075
qwen3-1.7b-think,cycle_check,degree,295,400,-0.6779661016949157,0.5,-21.750000000000004,5.109797372820077e-20,1.0,3.065878423692046e-19,False,True,True,21.072033898305087
qwen3-1.7b-think,cycle_check,filler,388,400,0.0,1.0,3.0000000000000027,0.00048828125,1.0,0.0009765625,False,True,True,3.0000000000000027
qwen3-1.7b-think,cycle_check,all,373,400,0.0,1.0,-0.7499999999999951,0.7011080384254456,1.0,0.8318119049072266,False,False,False,0.7499999999999951
qwen3-1.7b-think,edge_existence,components,398,400,-0.7537688442211032,0.5078125,-0.7499999999999951,0.548828125,0.5078125,0.65859375,False,False,False,0.0037688442211081252
qwen3-1.7b-think,edge_existence,clustering,398,400,-1.005025125628145,0.2890625,-1.0000000000000009,0.34375,0.43359375,0.515625,False,False,False,0.005025125628144167
qwen3-1.7b-think,edge_existence,rwse,398,400,-1.2562814070351758,0.2265625,-1.2499999999999956,0.266845703125,0.43359375,0.515625,False,False,False,0.006281407035180209
qwen3-1.7b-think,edge_existence,degree,397,400,-2.267002518891681,0.0224609375,-2.500000000000002,0.021270751953125,0.11572265625,0.12762451171875,False,False,False,0.2329974811083213
qwen3-1.7b-think,edge_existence,filler,399,400,-0.7518796992481147,0.5078125,-0.5000000000000004,0.75390625,0.5078125,0.75390625,False,False,False,0.25187969924811426
qwen3-1.7b-think,edge_existence,all,399,400,-2.0050125313283207,0.03857421875,-1.749999999999996,0.09228515625,0.11572265625,0.27685546875,False,False,False,0.2550125313283247
qwen3-1.7b-think,node_degree,components,395,400,-1.0126582278480956,0.6587380770236564,-1.0000000000000009,0.6654658120766186,0.6940040940761317,0.6654658120766186,False,False,False,0.012658227848094672
qwen3-1.7b-think,node_degree,clustering,396,400,1.0101010101010166,0.6940040940761316,1.5000000000000013,0.5257733601756501,0.6940040940761317,0.6309280322107801,False,False,False,0.4898989898989847
qwen3-1.7b-think,node_degree,rwse,394,400,2.5380710659898553,0.28878428041410487,2.500000000000002,0.30816823194368076,0.4331764206211573,0.46225234791552117,False,False,False,0.0380710659898531
qwen3-1.7b-think,node_degree,degree,376,400,11.702127659574469,2.553422007441105e-07,8.750000000000002,0.0002655853429874699,7.660266022323315e-07,0.0007967560289624098,True,True,False,2.952127659574467
qwen3-1.7b-think,node_degree,filler,396,400,-3.535353535353525,0.09795444051950737,-2.9999999999999916,0.1752857944430353,0.19590888103901474,0.3505715888860706,False,False,False,0.5353535353535332
qwen3-1.7b-think,node_degree,all,396,400,11.616161616161612,2.2661405044675457e-07,12.250000000000005,5.602931385052865e-08,7.660266022323315e-07,3.3617588310317187e-07,True,True,False,0.633838383838393
qwen3-1.7b-think,connected_nodes,components,392,400,2.8061224489795977,0.12628947438543037,2.500000000000002,0.18392482137699062,0.25257894877086073,0.33049274126491657,False,False,False,0.3061224489795955
qwen3-1.7b-think,connected_nodes,clustering,394,400,1.5228426395939132,0.5385827752459464,2.0000000000000018,0.40296307504607976,0.6462993302951358,0.4835556900552957,False,False,False,0.4771573604060886
qwen3-1.7b-think,connected_nodes,rwse,393,400,-0.2544529262086592,1.0,0.2500000000000058,1.0,1.0,1.0,False,False,False,0.504452926208665
qwen3-1.7b-think,connected_nodes,degree,390,400,7.435897435897443,0.00020372185740785698,6.25,0.0026263768106840383,0.0012223311444471419,0.007879130432052114,True,True,False,1.1858974358974432
qwen3-1.7b-think,connected_nodes,filler,394,400,2.0304568527918843,0.3222363203575469,2.500000000000002,0.22032849417661104,0.48335448053632035,0.33049274126491657,False,False,False,0.46954314720811796
