arm,group,metric,condition,hypothesis_type,is_derived_condition,bound,bh_family,n_pairs,n_clusters,n_instances_missing,n_forced_wrong_non_terminating,n_looped_on_correct_answer,high_non_termination_rate,near_ceiling,headroom,task_delta_min,task_delta_max,within_graph_icc,delta,ci_low,ci_high,p_value,n_perm,seed,bh_significant,near_threshold,mde_delta,mde_realized_diff,mde_delta_negative,mde_realized_diff_negative,mde_power_target,bh_significant_global,task,n_mae_imputed,mae_delta
main_sweep,qwen3-1.7b,exact,filler,,False,excluded,main_sweep/qwen3-1.7b/task/edge_count,400,400,,,,,,,,,,-0.005,,,0.6861656917154142,,,False,,,,,,,False,edge_count,,
main_sweep,qwen3-1.7b,exact,rwse,,False,excluded,main_sweep/qwen3-1.7b/task/edge_count,400,400,,,,,,,,,,-0.0075,,,0.456327183640818,,,False,,,,,,,False,edge_count,,
main_sweep,qwen3-1.7b,exact,all,,True,excluded,main_sweep/qwen3-1.7b/task/edge_count/derived,400,400,,,,,,,,,,0.0075,-0.01,0.025,0.5806209689515525,,,False,,,,,,,,edge_count,,
main_sweep,qwen3-1.7b,exact,clustering,,False,excluded,main_sweep/qwen3-1.7b/task/edge_existence,400,400,,,,,,,,,,0.0375,-0.005,0.08,0.1207939603019849,,,False,,,,,,,False,edge_existence,,
main_sweep,qwen3-1.7b,exact,components,,False,excluded,main_sweep/qwen3-1.7b/task/edge_existence,400,400,,,,,,,,,,-0.0825,-0.1175,-0.0475,4.999750012499375e-05,,,True,,,,,,,True,edge_existence,,
main_sweep,qwen3-1.7b,exact,degree,,False,excluded,main_sweep/qwen3-1.7b/task/edge_existence,400,400,,,,,,,,,,0.04,-0.0025,0.085,0.09954502274886255,,,False,,,,,,,False,edge_existence,,
main_sweep,qwen3-1.7b,exact,filler,,False,excluded,main_sweep/qwen3-1.7b/task/edge_existence,400,400,,,,,,,,,,-0.1575,-0.2,-0.115,4.999750012499375e-05,,,True,,,,,,,True,edge_existence,,
main_sweep,qwen3-1.7b,exact,rwse,,False,excluded,main_sweep/qwen3-1.7b/task/edge_existence,400,400,,,,,,,,,,0.05,0.0025,0.095,0.0431978401079946,,,False,,,,,,,False,edge_existence,,
main_sweep,qwen3-1.7b,exact,all,,True,excluded,main_sweep/qwen3-1.7b/task/edge_existence/derived,400,400,,,,,,,,,,0.115,0.065,0.1625,4.999750012499375e-05,,,True,,,,,,,,edge_existence,,
main_sweep,qwen3-1.7b,exact,clustering,,False,excluded,main_sweep/qwen3-1.7b/task/node_count,400,400,,,,,,,,,,0.6725,0.625,0.7175,4.999750012499375e-05,,,True,,,,,,,True,node_count,,
main_sweep,qwen3-1.7b,exact,components,,False,excluded,main_sweep/qwen3-1.7b/task/node_count,400,400,,,,,,,,,,0.2125,0.1575,0.2675,4.999750012499375e-05,,,True,,,,,,,True,node_count,,
main_sweep,qwen3-1.7b,exact,degree,,False,excluded,main_sweep/qwen3-1.7b/task/node_count,400,400,,,,,,,,,,0.0675,0.03,0.105,0.000599970001499925,,,True,,,,,,,True,node_count,,
