arm,design,task,condition,control,n,control_acc,condition_acc,delta_pp,b_helped_to_hurt,c_hurt_to_helped,p_value,density,none_acc,mid_range,contaminated,bh_significant,bh_global
qwen3-1.7b,lo,edge_existence,degree,filler,100,0.53,0.7,17.0,6,23,0.002315700054168701,0.2,0.73,True,True,True,True
qwen3-1.7b,lo,edge_existence,degree,filler,100,0.34,0.67,33.0,0,33,2.3283064365386963e-10,0.35,0.66,True,True,True,True
qwen3-1.7b,lo,edge_existence,degree,filler,100,0.48,0.78,30.0,1,31,1.5366822481155396e-08,0.5,0.54,True,True,True,True
qwen3-1.7b,lo,edge_existence,all,filler,100,0.84,0.89,5.0,5,10,0.3017578125,0.1,0.89,True,True,False,False
qwen3-1.7b,lo,edge_existence,all,filler,100,0.53,0.81,28.0,4,32,1.941574737429619e-06,0.2,0.73,True,True,True,True
qwen3-1.7b,lo,edge_existence,all,filler,100,0.34,0.78,44.0,1,45,1.3358203432289883e-12,0.35,0.66,True,True,True,True
qwen3-1.7b,lo,edge_existence,all,filler,100,0.48,0.8,32.0,0,32,4.656612873077393e-10,0.5,0.54,True,True,True,True
qwen3-1.7b,lo,node_count,components,filler,100,0.16,0.19,3.0,13,16,0.711071103811264,0.1,0.02,False,False,False,False
qwen3-1.7b,lo,node_count,components,filler,100,0.7,0.41,-29.0,40,11,5.703811637403078e-05,0.2,0.0,False,False,True,True
qwen3-1.7b,lo,node_count,components,filler,100,0.99,0.7,-29.0,30,1,2.9802322387695312e-08,0.35,0.28,False,False,True,True
qwen3-1.7b,lo,node_count,components,filler,100,1.0,0.81,-19.0,19,0,3.814697265625e-06,0.5,0.96,False,False,True,True
qwen3-1.7b,lo,node_count,clustering,filler,100,0.16,0.95,79.0,0,79,3.308722450212111e-24,0.1,0.02,False,False,True,True
qwen3-1.7b,lo,node_count,clustering,filler,100,0.7,1.0,30.0,0,30,1.862645149230957e-09,0.2,0.0,False,False,True,True
qwen3-1.7b,lo,node_count,clustering,filler,100,0.99,1.0,1.0,0,1,1.0,0.35,0.28,False,False,False,False
qwen3-1.7b,lo,node_count,clustering,filler,100,1.0,1.0,0.0,0,0,1.0,0.5,0.96,False,False,False,False
qwen3-1.7b,lo,node_count,rwse,filler,100,0.16,0.32,16.0,8,24,0.0070003666914999485,0.1,0.02,False,False,True,True
qwen3-1.7b,lo,node_count,rwse,filler,100,0.7,0.17,-53.0,54,1,3.1086244689504383e-15,0.2,0.0,False,False,True,True
qwen3-1.7b,lo,node_count,rwse,filler,100,0.99,0.55,-44.0,44,0,1.1368683772161603e-13,0.35,0.28,False,False,True,True
qwen3-1.7b,lo,node_count,rwse,filler,100,1.0,0.3,-70.0,70,0,1.6940658945086007e-21,0.5,0.96,False,False,True,True
